article_id,year,journal,title
198505,1997,american economic review,an empirical assessment of the proximity concentration trade off between multinational sales and trade
678383,2013,american economic review,assessing the incidence and efficiency of a prominent place based policy
192422,1997,american economic review,aggregate employment dynamics  building from microeconomic evidence
775202,2015,american economic review,reallocation and technology evidence from the us steel industry
133654,1993,american economic review,the aggregate implications of machine replacement  theory and evidence
238985,1999,american economic review,machine replacement and the business cycle  lumps and bumps
775262,2015,american economic review,environmental health risks and housing values evidence from 1 600 toxic plant openings and closings
747046,2014,american economic review,private equity jobs and productivity
631720,2012,american economic review,information and industry dynamics
547984,2010,american economic review,what causes industry agglomeration evidence from coagglomeration patterns
413932,2006,american economic review,accounting for the growth of mnc based trade using a structural model of us mncs
465489,2008,american economic review,reallocation firm turnover and efficiency selection on productivity ""or"" profitability
676526,2013,american economic review,the impact of medical liability standards on regional variations in physician behavior evidence from the adoption of national standard rules
972754,2019,american economic review,firms internal networks and local economic shocks
345820,2004,american economic review,export versus fdi with heterogeneous firms
180475,1996,american economic review,effects of air quality regulation
595584,2011,american economic review,the impact of regulations on the supply and quality of care in child care markets
682237,2013,american economic review,the gravity of knowledge
350366,2004,american economic review,workers education spillovers and productivity evidence from plant-level production functions
830691,2016,american economic review,the surprisingly swift decline of us manufacturing employment
940198,2018,american economic review,why is pollution from us manufacturing declining the roles of environmental regulation productivity and trade
839215,2016,american journal of agricultural economics,what can we learn about the effects of food stamps on obesity in the presence of misreporting
254192,2000,american journal of agricultural economics,no such thing as a free safe lunch the cost of food safety regulation in the meat industry
418484,2006,american journal of agricultural economics,supermarket human resource practices and competition from mass merchandisers
878817,2017,american journal of agricultural economics,food and agricultural industries opportunities for improving measurement and reporting
217222,1998,american journal of agricultural economics,rural manufacturing on the crest of the wave a count data analysis of technology use
186181,1996,american journal of agricultural economics,structural change in meat industries implications for food safety regulation
254194,2000,american journal of agricultural economics,scale economies and consolidation in hog slaughter
287286,2001,american journal of agricultural economics,scale economies and consolidation in hog slaughter reply
382819,2005,american journal of agricultural economics,technology labor wars and producer dynamics explaining consolidation in beef packing
369218,2005,american journal of agricultural economics,technological change and economies of scale in us poultry processing
410782,2006,american journal of agricultural economics,mergers and acquisitions and productivity in the us meat products industries evidence from the micro data
842641,2016,american journal of health economics,employers changing economic incentives to offer health insurance under the affordable care act
960595,2019,american journal of health economics,short run effects of parental job loss on child health
878828,2017,american journal of health economics,second trimester sunlight and asthma evidence from two independent studies
177261,1996,annales d'economie et de statistique,employer size and the wage structure in us manufacturing
339705,2003,annales d'economie et de statistique,ethnicity language and workplace segregation evidence from a new matched employer employee data set
578780,2010,annales d'economie et de statistique,spatial mismatch immigrant networks and hispanic employment in the united states
177254,1996,annales d'economie et de statistique,using longitudinal data on establishments to analyze the effects of unio* *ganizing campaigns in the united states
924203,2018,annals of economics and statistics/annales d'economie et de statistique,sorting between and within industries a testable model of assortative matching
983557,2019,annals of regional science,a spatial model of growth relationships and latino owned business
444081,2007,annals of the american academy of political and social science,access to financial capital among us businesses the case of african american firms
654481,2012,annual review of economics,the empirics of firm heterogeneity and international trade
781390,2015,applied economic perspectives and policy,productivity ""or"" demand determinants of plant survival and ownership change in the us poultry industry
611026,2011,applied economics,lost jobs and health insurance an analysis of the impact of employment volatility on firm provided health insurance
566432,2010,applied economics,information and credit access using bankruptcy as a signal
468994,2008,applied economics,parent child bargaining parental transfers and the post secondary education decision
891394,2017,applied economics,do volatile firms pay volatile earnings evidence from linked worker firm data
587551,2011,applied economics letters,employer health benefit costs and demand for part time labour
958141,2019,applied economics letters,examining the long term mortality effects of early health shocks
747120,2014,applied health economics and health policy,economic burden and disparities in healthcare resource use among adult patients with cardiac arrhythmia
666380,2012,b.e. journal of economic analysis and policy,recent trends in earnings volatility evidence from survey and administrative data
571685,2010,b.e. journal of economic analysis and policy: advances in economic analysis and policy,heterogeneity and learning in labor markets
605351,2011,b.e. journal of economic analysis and policy: contributions to economic analysis and policy,the labor supply consequences of employment limiting social insurance benefits new tests for income effects
544091,2010,b.e. journal of economic analysis and policy: topics in economic analysis and policy,what kind of job is safer a note on occupational vulnerability
504108,2009,b.e. journal of economic analysis and policy: topics in economic analysis and policy,environmental products manufacturing a look inside the green industry
984226,2019,british journal of industrial relations,the effects of occupational licensing evidence from business level data
703923,2013,brookings papers on economic activity,fifty years of family planning new evidence on the long run effects of increasing access to contraception
122693,1992,brookings papers on economic activity,productivity dynamics in manufacturing plants
171694,1995,brookings papers on economic activity,exporters jobs and wages in us manufacturing  1976 1987
171677,1995,brookings papers on economic activity,plant level adjustment and aggregate investment dynamics
110377,1991,brookings papers on economic activity,wage dispersion between and within us manufacturing plants 1963 86
104090,1990,brookings papers on economic activity,the cyclical behavior of the gross flows of us workers comments
842866,2016,brookings papers on economic activity,understanding declining fluidity in the us labor market
104091,1990,brookings papers on economic activity,the cyclical behavior of the gross flows of us workers comments
216133,1998,business economics,patterns of advanced technology adoption and manufacturing performance
307736,2002,business economics,race and gender differences in business ownership and business turnover
146825,1994,business economics,small business and job creation  dissecting the myth and reassessing the facts
3650,1980,cambridge journal of economics,segmentation in the us labour market its effects on the mobility and earnings of whites and blacks
634892,2012,canadian journal of economics,markets and the non monotonic relation between productivity and establishment size
223175,1998,canadian journal of economics,trade liberalization and delocalization new evidence from firm level panel data
885758,2017,canadian journal of economics,food and beverage television advertising exposure and youth consumption body mass index and adiposity outcomes viewpoint
517716,2009,canadian journal of economics,tariff effects on mnc decisions to engage in intra firm and arms length trade
813053,2015,canadian journal of economics,product quality and firm heterogeneity in international trade
233166,1999,canadian journal of economics,information technology and its impact on productivity firm level evidence from government and private data sources 1977 1993
200915,1997,carnegie-rochester conference series on public policy,technology and jobs secular changes and cyclical dynamics
922977,2018,contemporary accounting research/recherche comptable contemporaine,conflicting transfer pricing incentives and the role of coordination
728305,2014,contemporary economic policy,a warm embrace ""or"" the cold shoulder wage and employment outcomes in ethnic enclaves
966757,2019,demography,race matters income shares income inequality and income mobility for all us races
901820,2017,demography,second generation outcomes of the great migration
752436,2014,demography,workplace concentration of immigrants
960055,2019,demography,educational disparities in adult mortality across us states how do they differ and have they changed since the mid 1980s
826373,2016,demography,joining leaving and staying in the american indian/alaska native race category between 2000 and 2010
901810,2017,demography,the methuselah effect the pernicious impact of unreported deaths on old age mortality estimates
737733,2014,demography,residential mobility across local areas in the united states and the geographic distribution of the healthy population
969955,2019,demography,predicting the effect of adding a citizenship question to the 2020 census
347449,2004,demography,self care why do parents leave their children unsupervised
642931,2012,demography,the long term effects of military conscription on mortality estimates from the vietnam era draft lottery
796867,2015,demography,the long term health implications of marital disruption divorce work limits and social security disability benefits among men
680688,2013,demography,gender and the neighborhood location of mixed race couples
875301,2017,demography,america s churning races race and ethnicity response changes between census 2000 and the 2010 census
711623,2013,demography,the effect of school quality on black white health differences evidence from segregated southern schools
737732,2014,demography,the location of displaced new orleans residents in the year after hurricane katrina
656582,2012,demography,segregation through the lens of housing unit transition what roles do the prior residents the local micro neighborhood and the broader neighborhood play
937701,2018,demography,cigarette smoking and all cause and cause specific adult mortality in the united states
942953,2018,demography,interstate migration and employer to employer transitions in the united states new evidence from administrative records data
329154,2003,demography,why poverty remains high the role of income growth economic inequality and changes in family structure 1949 1999
737747,2014,demography,more than one million new american indians in 2000 who are they
875315,2017,demography,job changing and the decline in long distance migration in the united states
347445,2004,demography,welfare reform and female headship
954936,2019,demography,the timing of teenage births estimating the effect on high school graduation and later life outcomes
611320,2011,ecological economics,local environmental regulation and plant level productivity
381273,2005,ecological economics,pollution abatement expenditures and plant level productivity a production function approach
701358,2013,ecological economics,amenity values of proximity to national wildlife refuges an analysis of urban residential property values
231315,1999,ecological economics,grandfather regulations new source bias and state air toxics regulations
777488,2015,ecological economics,pollution havens and the trade in toxic chemicals evidence from us trade flows
966768,2019,ecological economics,understanding the micro determinants of defensive behaviors against pollution
930572,2018,econometrica,really uncertain business cycles
688648,2013,econometrica,demand fluctuations in the ready mix concrete industry
982497,2019,econometrica,how destructive is innovation
183089,1996,econometrica,the dynamics of productivity in the telecommunications equipment industry
919062,2018,economic development quarterly,evaluating the impact of manufacturing extension services on establishment performance
479346,2008,economic development quarterly,crimes impact on the survival prospects of young urban small businesses
466699,2008,economic geography,participation in export markets and productivity of plants in los angeles 19871997
879142,2017,economic geography,urban immigrant diversity and inclusive institutions
605692,2011,economic geography,regional industrial structure concentration in the united states trends and implications
444493,2007,economic geography,geography and the immigrant division of labor
92729,1989,economic geography,export performance and state industrial growth
352154,2004,economic geography,regional income inequality and international trade
347536,2004,economic geography,access to work the effects of spatial and social accessibility on unemployment for native born black and immigrant women in los angeles
868209,2016,economic inquiry,using the pareto distribution to improve estimates of topcoded earnings
376636,2005,economic inquiry,it and productivity in us manufacturing do computer networks matter
726658,2014,economic inquiry,surviving credit market competition
711799,2013,economic inquiry,parental earnings and children s well being an analysis of the survey of income and program participation matched to social security administration earnings data
174807,1996,economic inquiry,estimating capital efficiency schedules within production functions
984220,2018,economic inquiry,multiregional firms and region switching in the us manufacturing sector
868198,2016,economic inquiry,intellectual property protection and the industrial composition of multinational activity
106954,1991,economic inquiry,the impact of r&d investment on productivity new evidence using linked r&d lrd data
511607,2009,economic journal,reaching for the stars who pays for talent in innovative industries
442011,2007,economic journal,does employment protection reduce productivity evidence from us states
344886,2004,economic journal,whats driving the new economy the benefits of workplace innovation
486779,2008,economic journal,energy prices and the adoption of energy saving technology
48499,1985,economic journal,effects of worker attitudes on production costs and the value of capital input
920277,2018,economic policy,is regulation to blame for the decline in american entrepreneurship
376659,2005,economic systems research,technological evolution as creative destruction of process heterogeneity evidence from us plant level data
159997,1995,economica,wages employment structure and employer size wage premia their relationship to advanced technology usage at us manufacturing establishments
826492,2016,economica,the slow growth of new plants learning about demand
431709,2007,economica,the dynamics of worker reallocation within and across industries
726670,2014,economics and human biology,food prices and body fatness among youths
559762,2010,economics letters,improving imputations of top incomes in the public use current population survey by using both cell means and variances
280291,2001,economics letters,gross employment flows in us coal mining
651269,2012,economics letters,evaluating estimates of materials offshoring from us manufacturing
300481,2002,economics of education review,immigrant status race and institutional choice in higher education
921441,2018,economics of education review,are states winning the fight evidence on the impact of state laws on bullying in schools
224353,1998,economics of innovation and new technology,the effect of technology use on productivity growth
353675,2004,economics of innovation and new technology,information technology investment and firm performance in us retail trade
307952,2002,economics of innovation and new technology,an option value approach to technology adoption in us manufacturing evidence from microdata
692782,2013,empirical economics,linking investment spikes and productivity growth
969229,2019,energy economics,measuring plant level energy efficiency and technical change in the us metal based durable manufacturing sector using stochastic frontier analysis
469547,2008,energy journal,estimating plant level energy efficiency with a stochastic frontier
974258,2019,energy journal,the impacts of lower natural gas prices on jobs in the us manufacturing sector
896717,2017,energy policy,creating linked datasets for sme energy assessment evidence building results from the us industrial assessment center program
616394,2011,energy policy,the performance of industrial sector voluntary climate programs climate wise and 1605(b)
831400,2016,european economic review,taxation corruption and growth
230280,1999,european economic review,spatial evolution of the computer industry in the usa
962891,2019,european economic review,host country financial development and multinational activity
831399,2016,european economic review,where has all the skewness gone the decline in high growth (young) firms in the us
915310,2018,european economic review,the rise of exporting by us firms
984263,2015,european economic review,entry and exit of manufacturing plants over the business cycle
179414,1996,european economic review,output price markups and producer size
693043,2013,european economic review,offshoring wages and employment theory and evidence
788168,2015,european review of economic history,the paradox of progress the emergence of wage discrimination in us manufacturing
490626,2008,federal reserve bank of chicago economic perspectives,professional employer organizations what are they who uses them and why should we care
758937,2014,federal reserve bank of chicago economic perspectives,black white differences in intergenerational economic mobility in the united states
439788,2007,financial management,dividend policy inside the multinational firm
784944,2015,food policy,associations between soda prices and intake evidence from 24 h dietary recall data
685689,2013,growth and change,industrial structure and the sources of agglomeration economies evidence from manufacturing plant production
142007,1993,growth and change,the influence of location on productivity  manufacturing technology in rural and urban areas
474605,2008,growth and change,international trade and the changing demand for skilled workers in high tech manufacturing
590578,2011,health economics,does procedure profitability impact whether an outpatient surgery is performed at an ambulatory surgery center ""or"" hospital
657243,2012,health economics,health service use among the previously uninsured is subsidized health insurance enough
782318,2015,health economics,nonlinear effects of soda taxes on consumption and weight outcomes
831705,2016,health economics,copayments and emergency department use among adult medicaid enrollees
974439,2019,health economics,how do economic downturns affect the mental health of children evidence from the national health interview survey
875863,2017,health economics,heterogeneity in smokers responses to tobacco control policies
701875,2013,"health economics, policy and law",the effect of medical malpractice liability on rate of referrals received by specialist physicians
961840,2019,ilr review,the consequences of long term unemployment evidence from linked survey and administrative data
813242,2015,ilr review,impacts of unionization on quality and productivity regression discontinuity evidence from nursing homes
879645,2017,ilr review,what businesses attract unions unionization over the life cycle of us establishments
979541,2019,ilr review,measuring job creation growth and survival among the universe of startups in the united states using a combined startup panel data set
938562,2018,ilr review,the poverty reduction of social security and means tested transfers
704497,2013,imf economic review,how firms respond to business cycles the role of firm age and firm size
984229,2019,imf economic review,the great recession and a missing generation of exporters
981478,2019,industrial and corporate change,startups job creation and founder characteristics
201795,1997,industrial and corporate change,firm performance and evolution  empirical regularities in the us microdata
218927,1998,industrial and labor relations review,beyond the incidence of employer provided training
590645,2011,industrial and labor relations review,labor market rigidities and the employment behavior of older workers
279018,2001,industrial and labor relations review,"do high performance work practices improve establishment level outcomes"
465271,2008,industrial and labor relations review,are franchises bad employers
211845,1998,industrial and labor relations review,sex segregation in us manufacturing
431070,2007,industrial and labor relations review,families human capital and small business evidence from the characteristics of business owners survey
375492,2005,industrial and labor relations review,the declining effects of osha inspections on manufacturing injuries 1979 1998
349230,2004,industrial and labor relations review,escaping low earnings the role of employer characteristics and changes
49319,1985,industrial and labor relations review,worker attitudes worker behavior and productivity in the us automobile industry 1959 1976
740788,2014,industrial and labor relations review,offshoring and the polarization of the us labor market
652162,2012,industrial relations,decomposing the sources of earnings inequality assessing the role of reallocation
343965,2004,industrial relations,how workers fare when employers innovate
346375,2004,industrial relations,why do employers retrain at risk workers the role of social capital
970974,2019,industrial relations,vulnerable jobs and the wage effects of import competition
372031,2005,industrial relations,the last american shoe manufacturers decreasing productivity and increasing profits in the shift from piece rates to continuous flow production
433274,2007,industrial relations,us multinational activity abroad and us jobs substitutes ""or"" complements
685819,2013,industrial relations,manufacturing plants use of temporary workers an analysis using census microdata
834140,2016,industrial relations,firm level monopsony and the gender pay gap
302429,2002,information economics and policy,silicon mountains silicon molehills geographic concentration and convergence of internet industries in the us
419526,2006,inquiry,unstable inferences an examination of complex survey sample design adjustments using the current population survey for health services research
385745,2005,inquiry,the effect of schip expansions on health insurance decisions by employers
494643,2008,inquiry,does managed care improve access to care for medicaid beneficiaries with disabilities a national study
453690,2007,inquiry,individual health insurance within the family can subsidies promote family coverage
937973,2018,international economic review,medicaid and the labor supply of single mothers implications for health care reform
877529,2017,international economics,plant exit and us imports from low wage countries
673556,2012,international economics,the task composition of offshoring by us multinationals
317685,2002,international journal of health care finance and economics,employer offers private coverage and the tax subsidy for health insurance 1987 and 1996
294595,2001,international journal of health care finance and economics,employer contribution methods and health insurance premiums does managed competition work
401228,2006,international journal of health care finance and economics,employer choices of family premium sharing
592931,2011,international journal of health care finance and economics,premium growth and its effect on employer sponsored insurance
980378,2019,international journal of health economics and management,the impact of medicaid expansion on employer provision of health insurance
886850,2017,international journal of health economics and management,the availability and marginal costs of dependent employer sponsored health insurance
897150,2017,international journal of health economics and management,the impact of health insurance expansion on physician treatment choice medicare part d and physician prescribing
756495,2014,international journal of industrial organization,estimating the impact of low income universal service programs
929600,2018,international journal of industrial organization,competition productivity and survival of grocery stores in the great depression
377023,2005,international journal of industrial organization,exit from regional manufacturing markets the role of entrant experience
660363,2012,international journal of industrial organization,strategic alliance as a response to the threat of entry evidence from airline codesharing
273958,2001,international journal of industrial organization,the impact of ownership changes a view from labor markets
883538,2017,international organization,the distributional consequences of preferential trade liberalization firm level evidence
803839,2015,international organization,the influence of firm global supply chains and foreign currency undervaluations on us trade disputes
889840,2017,international organization,winners and losers in international trade the effects on us presidential voting
406610,2006,international regional science review,is there really an export wage premium a case study of los angeles using matched employee employer data
549172,2010,international review of economics and finance,tariffs versus anti dumping duties
375643,2005,international review of law and economics,alcohol drugs and violent crime
670576,2012,iza journal of labor economics,persistent interindustry wage differences rent sharing and opportunity costs
718639,2013,iza journal of labor economics,the plant lifecycle of the average wage of employees in us manufacturing
718638,2013,iza journal of labor economics,the recent decline in employment dynamics
515613,2009,japan and the world economy,measuring network effects on trade a reexamination
974630,2019,journal of accounting research,made in the usa a study of firm responses to domestic production incentives
706790,2013,journal of accounting research,location of decision rights within multinational firms
332817,2003,journal of applied econometrics,neighbourhood effects and housing demand
877667,2017,journal of asian economics,import competition from and offshoring to low income countries implications for employment and wages at us domestic manufacturers
373241,2005,journal of business and economic statistics,the sensitivity of economic statistics to coding errors in personal identifiers
966124,2019,journal of business and economic statistics,modeling endogenous mobility in earnings determination
440252,2007,journal of business and economic statistics,using worker flows to measure firm dynamics
628878,2011,journal of business and economic statistics,employer to employer flows in the united states estimates using linked employer employee data
364259,2004,journal of business and economic statistics,the measurement of medicaid coverage in the sipp evidence from a comparison of matched records
201239,1997,journal of business and economic statistics,on measuring segregation in samples with small units
772775,2014,journal of business and economic statistics,multiple imputation of missing ""or"" faulty values under linear constraints
179583,1996,journal of business and economic statistics,nonresponse bias and business turnover rates  the case of the characteristics of business owners survey
100298,1990,journal of business and economic statistics,small area estimation of economic statistics
159049,1995,journal of business and economic statistics,establishment microdata for economic research and policy analysis  looking beyond the aggregates
251193,2000,journal of business and economic statistics,the contribution of establishment births and deaths to employment growth
542039,2009,journal of business and economic statistics,it and beyond the contribution of heterogeneous capital to productivity
515753,2009,journal of business valuation and economic loss analysis,the impact of hurricanes katrina rita and wilma on business establishments
984221,2019,journal of consumer affairs,who files for personal bankruptcy in the united states
902970,2017,journal of consumer affairs,the relationship between the school breakfast program and food insecurity
981612,2019,journal of consumer research,was television responsible for a new generation of smokers
745863,2014,journal of corporate finance,the effects of corporate spin offs on productivity
907848,2017,journal of corporate finance,career concerns and the busy life of the young ceo
593475,2011,journal of econometrics,national estimates of gross employment and job flows from the quarterly workforce indicators with demographic and industry detail
351179,2004,journal of econometrics,why do employers pay for college
467541,2008,journal of econometrics,the work disincentive effects of the disability insurance program in the 1990s
897384,2017,journal of econometrics,misclassification in binary choice models
390998,2005,journal of economic and social measurement,a change of pace comparing the 1994 and 1999 pollution abatement costs and expenditures surveys
493258,2008,journal of economic and social measurement,consistent cell means for top coded incomes in the public use march cps (1976 2007)
268496,2000,journal of economic and social measurement,survey attrition considerations in the medical expenditure panel survey
712747,2013,journal of economic and social measurement,occupation inflation in the current population survey
911029,2017,journal of economic and social measurement,the annual survey of entrepreneurs
753837,2014,journal of economic and social measurement,computer networks and productivity revisited does plant size matter evidence and implications
412354,2006,journal of economic and social measurement,using census business data to augment the mepsic
140123,1993,journal of economic and social measurement,manufacturing establishments reclassified into new industries the effect of survey design rules
227747,1998,journal of economic and social measurement,the manufacturing plant ownership change database  its construction and usefulness
493259,2008,journal of economic and social measurement,capital energy substitution revisited new evidence from micro data
665832,2012,journal of economic and social measurement,a concordance between ten digit us harmonized system codes and sic/naics product classes and industries
383771,2005,journal of economic behavior and organization,hierarchical sorting and learning costs theory and evidence from the law
660669,2012,journal of economic behavior and organization,learning about the nature of production from equilibrium assignment patterns
123815,1992,journal of economic behavior and organization,industrial de diversification and its consequences for productivity
741197,2014,journal of economic dynamics and control,the role of asset testing in public health insurance reform
941345,2018,journal of economic dynamics and control,a model of entry exit and plant level dynamics over the business cycle
445159,2007,journal of economic dynamics and control,initial conditions at emancipation the long run effect on black white wealth and earnings inequality
945376,2018,journal of economic geography,taken by storm business financing and survival in the aftermath of hurricane katrina
922073,2018,journal of economic geography,spillovers from immigrant diversity in cities
555006,2010,journal of economic geography,clusters and entrepreneurship
306900,2002,journal of economic geography,agglomeration economies and productivity differences in us cities
400422,2006,journal of economic geography,technological variety technological change and a geography of production techniques
751119,2014,journal of economic history,railroad expansion and industrialization evidence from meiji japan
607328,2011,journal of economic inequality,estimating trends in us income inequality using the current population survey the importance of controlling for censoring
655277,2012,journal of economic inequality,the reverse wage gap among educated white and black women
736016,2014,journal of economic inequality,does the retirement consumption puzzle differ across the distribution
920720,2018,journal of economic literature,global firms
442874,2007,journal of economic perspectives,firms in international trade
729662,2014,journal of economic perspectives,fluctuations in uncertainty
412469,2006,journal of economic perspectives,the flow approach to labor markets new data sources and micro macro links
738617,2014,journal of economic perspectives,the role of entrepreneurship in us job creation and economic dynamism
917816,2018,journal of economic perspectives,new perspectives on the decline of us manufacturing employment
871949,2017,journal of economic perspectives,the new life cycle of women s employment disappearing humps sagging middles expanding tops
588790,2011,journal of economic perspectives,offshoring bias in us manufacturing
871950,2017,journal of economic perspectives,specialization then and now marriage children and the gender earnings gap across cohorts
738618,2014,journal of economic perspectives,entrepreneurship as experimentation
795435,2015,journal of economic perspectives,household surveys in crisis
597062,2011,journal of economic perspectives,internal migration in the united states
933182,2018,journal of economic theory and econometrics,economic policies with endogenous entry and exit of plants
305963,2002,journal of economics (mvea),the market for tornado safety analysis of applications to the oklahoma safe room initiative
326465,2003,journal of economics and business,startup financing owner characteristics and survival
467703,2008,journal of economics and business,analysis of young neighborhood firms serving urban minority clients
645091,2012,journal of economics and management strategy,"supersize it the growth of retail chains and the rise of the ""big box"" store"
902985,2017,journal of economics and management strategy,customer employee substitution evidence from gasoline stations
759633,2014,journal of economics and management strategy,labor regulations and european venture capital
876219,2017,journal of economics and management strategy,taking the leap the determinants of entrepreneurs hiring their first employee
518951,2009,journal of economics and management strategy,local industrial conditions and entrepreneurship how much of the spatial distribution can we explain
934388,2018,journal of economics and management strategy,business dynamics of innovating firms linking us patents with administrative data on workers and firms
965233,2019,journal of economics and management strategy,brighter prospects assessing the franchise advantage using census data
736059,2014,journal of economics and management strategy,delegation in multi establishment firms evidence from it purchasing
377256,2005,journal of environmental economics and management,air pollution abatement costs under the clean air act evidence from the pace survey
707056,2013,journal of environmental economics and management,do environmental regulations disproportionately affect small businesses evidence from the pollution abatement costs and expenditures survey
238244,1999,journal of environmental economics and management,the impact of environmental constraints on productivity improvement in integrated paper plants
751202,2014,journal of environmental economics and management,"evidence of an ""energy management gap"" in us manufacturing spillovers from firm management practices to energy efficiency"
