aid,title,reason
775262,environmental health risks and housing values evidence from 1 600 toxic plant openings and closings,No citations
747046,private equity jobs and productivity,No citations
631720,information and industry dynamics,No citations
547984,what causes industry agglomeration evidence from coagglomeration patterns,No citations
413932,accounting for the growth of mnc based trade using a structural model of us mncs,No citations
465489,"reallocation firm turnover and efficiency selection on productivity """"or"""" profitability",No citations
676526,the impact of medical liability standards on regional variations in physician behavior evidence from the adoption of national standard rules,No citations
972754,firms internal networks and local economic shocks,No citations
345820,export versus fdi with heterogeneous firms,No citations
180475,effects of air quality regulation,No citations
595584,the impact of regulations on the supply and quality of care in child care markets,No citations
682237,the gravity of knowledge,No citations
350366,workers education spillovers and productivity evidence from plant-level production functions,No citations
830691,the surprisingly swift decline of us manufacturing employment,No citations
940198,why is pollution from us manufacturing declining the roles of environmental regulation productivity and trade,No citations
839215,what can we learn about the effects of food stamps on obesity in the presence of misreporting,No citations
254192,no such thing as a free safe lunch the cost of food safety regulation in the meat industry,No citations
418484,supermarket human resource practices and competition from mass merchandisers,Not in WOS or Misspelling
878817,food and agricultural industries opportunities for improving measurement and reporting,No citations
217222,rural manufacturing on the crest of the wave a count data analysis of technology use,No citations
186181,structural change in meat industries implications for food safety regulation,No citations
254194,scale economies and consolidation in hog slaughter,No citations
287286,scale economies and consolidation in hog slaughter reply,No citations
382819,technology labor wars and producer dynamics explaining consolidation in beef packing,No citations
369218,technological change and economies of scale in us poultry processing,No citations
410782,mergers and acquisitions and productivity in the us meat products industries evidence from the micro data,No citations
842641,employers changing economic incentives to offer health insurance under the affordable care act,No citations
960595,short run effects of parental job loss on child health,No citations
878828,second trimester sunlight and asthma evidence from two independent studies,Not in WOS or Misspelling
177261,employer size and the wage structure in us manufacturing,Not in WOS or Misspelling
339705,ethnicity language and workplace segregation evidence from a new matched employer employee data set,Not in WOS or Misspelling
578780,spatial mismatch immigrant networks and hispanic employment in the united states,Not in WOS or Misspelling
177254,using longitudinal data on establishments to analyze the effects of unio* *ganizing campaigns in the united states,Not in WOS or Misspelling
924203,sorting between and within industries a testable model of assortative matching,Not in WOS or Misspelling
983557,a spatial model of growth relationships and latino owned business,No citations
444081,access to financial capital among us businesses the case of african american firms,No citations
654481,the empirics of firm heterogeneity and international trade,No citations
781390,"productivity """"or"""" demand determinants of plant survival and ownership change in the us poultry industry",No citations
611026,lost jobs and health insurance an analysis of the impact of employment volatility on firm provided health insurance,No citations
566432,information and credit access using bankruptcy as a signal,No citations
468994,parent child bargaining parental transfers and the post secondary education decision,No citations
891394,do volatile firms pay volatile earnings evidence from linked worker firm data,No citations
587551,employer health benefit costs and demand for part time labour,No citations
958141,examining the long term mortality effects of early health shocks,No citations
747120,economic burden and disparities in healthcare resource use among adult patients with cardiac arrhythmia,No citations
666380,recent trends in earnings volatility evidence from survey and administrative data,No citations
571685,heterogeneity and learning in labor markets,No citations
605351,the labor supply consequences of employment limiting social insurance benefits new tests for income effects,No citations
544091,what kind of job is safer a note on occupational vulnerability,No citations
504108,environmental products manufacturing a look inside the green industry,No citations
984226,the effects of occupational licensing evidence from business level data,No citations
703923,fifty years of family planning new evidence on the long run effects of increasing access to contraception,No citations
122693,productivity dynamics in manufacturing plants,No citations
171694,exporters jobs and wages in us manufacturing  1976 1987,No citations
171677,plant level adjustment and aggregate investment dynamics,No citations
110377,wage dispersion between and within us manufacturing plants 1963 86,No citations
104090,the cyclical behavior of the gross flows of us workers comments,Not in WOS or Misspelling
842866,understanding declining fluidity in the us labor market,No citations
104091,the cyclical behavior of the gross flows of us workers comments,Not in WOS or Misspelling
216133,patterns of advanced technology adoption and manufacturing performance,Not in WOS or Misspelling
307736,race and gender differences in business ownership and business turnover,Not in WOS or Misspelling
146825,small business and job creation  dissecting the myth and reassessing the facts,No citations
3650,segmentation in the us labour market its effects on the mobility and earnings of whites and blacks,No citations
634892,markets and the non monotonic relation between productivity and establishment size,No citations
223175,trade liberalization and delocalization new evidence from firm level panel data,No citations
885758,food and beverage television advertising exposure and youth consumption body mass index and adiposity outcomes viewpoint,Not in WOS or Misspelling
517716,tariff effects on mnc decisions to engage in intra firm and arms length trade,No citations
813053,product quality and firm heterogeneity in international trade,No citations
233166,information technology and its impact on productivity firm level evidence from government and private data sources 1977 1993,No citations
200915,technology and jobs secular changes and cyclical dynamics,No citations
922977,conflicting transfer pricing incentives and the role of coordination,No citations
728305,"a warm embrace """"or"""" the cold shoulder wage and employment outcomes in ethnic enclaves",No citations
966757,race matters income shares income inequality and income mobility for all us races,No citations
901820,second generation outcomes of the great migration,No citations
752436,workplace concentration of immigrants,No citations
960055,educational disparities in adult mortality across us states how do they differ and have they changed since the mid 1980s,No citations
826373,joining leaving and staying in the american indian/alaska native race category between 2000 and 2010,No citations
901810,the methuselah effect the pernicious impact of unreported deaths on old age mortality estimates,No citations
737733,residential mobility across local areas in the united states and the geographic distribution of the healthy population,No citations
969955,predicting the effect of adding a citizenship question to the 2020 census,No citations
347449,self care why do parents leave their children unsupervised,No citations
642931,the long term effects of military conscription on mortality estimates from the vietnam era draft lottery,No citations
796867,the long term health implications of marital disruption divorce work limits and social security disability benefits among men,No citations
680688,gender and the neighborhood location of mixed race couples,No citations
875301,america s churning races race and ethnicity response changes between census 2000 and the 2010 census,No citations
711623,the effect of school quality on black white health differences evidence from segregated southern schools,No citations
737732,the location of displaced new orleans residents in the year after hurricane katrina,No citations
656582,segregation through the lens of housing unit transition what roles do the prior residents the local micro neighborhood and the broader neighborhood play,No citations
937701,cigarette smoking and all cause and cause specific adult mortality in the united states,No citations
942953,interstate migration and employer to employer transitions in the united states new evidence from administrative records data,No citations
329154,why poverty remains high the role of income growth economic inequality and changes in family structure 1949 1999,No citations
737747,more than one million new american indians in 2000 who are they,No citations
875315,job changing and the decline in long distance migration in the united states,No citations
347445,welfare reform and female headship,No citations
954936,the timing of teenage births estimating the effect on high school graduation and later life outcomes,No citations
611320,local environmental regulation and plant level productivity,No citations
381273,pollution abatement expenditures and plant level productivity a production function approach,No citations
701358,amenity values of proximity to national wildlife refuges an analysis of urban residential property values,No citations
231315,grandfather regulations new source bias and state air toxics regulations,No citations
777488,pollution havens and the trade in toxic chemicals evidence from us trade flows,No citations
966768,understanding the micro determinants of defensive behaviors against pollution,No citations
930572,really uncertain business cycles,No citations
688648,demand fluctuations in the ready mix concrete industry,No citations
982497,how destructive is innovation,No citations
183089,the dynamics of productivity in the telecommunications equipment industry,No citations
919062,evaluating the impact of manufacturing extension services on establishment performance,No citations
479346,crimes impact on the survival prospects of young urban small businesses,No citations
466699,participation in export markets and productivity of plants in los angeles 19871997,Not in WOS or Misspelling
879142,urban immigrant diversity and inclusive institutions,No citations
605692,regional industrial structure concentration in the united states trends and implications,No citations
444493,geography and the immigrant division of labor,No citations
92729,export performance and state industrial growth,No citations
352154,regional income inequality and international trade,No citations
347536,access to work the effects of spatial and social accessibility on unemployment for native born black and immigrant women in los angeles,No citations
868209,using the pareto distribution to improve estimates of topcoded earnings,No citations
376636,it and productivity in us manufacturing do computer networks matter,No citations
726658,surviving credit market competition,No citations
711799,parental earnings and children s well being an analysis of the survey of income and program participation matched to social security administration earnings data,No citations
174807,estimating capital efficiency schedules within production functions,No citations
984220,multiregional firms and region switching in the us manufacturing sector,No citations
868198,intellectual property protection and the industrial composition of multinational activity,No citations
106954,the impact of r&d investment on productivity new evidence using linked r&d lrd data,No citations
511607,reaching for the stars who pays for talent in innovative industries,No citations
442011,does employment protection reduce productivity evidence from us states,No citations
344886,whats driving the new economy the benefits of workplace innovation,No citations
486779,energy prices and the adoption of energy saving technology,No citations
48499,effects of worker attitudes on production costs and the value of capital input,No citations
920277,is regulation to blame for the decline in american entrepreneurship,No citations
376659,technological evolution as creative destruction of process heterogeneity evidence from us plant level data,Not in WOS or Misspelling
159997,wages employment structure and employer size wage premia their relationship to advanced technology usage at us manufacturing establishments,No citations
826492,the slow growth of new plants learning about demand,No citations
431709,the dynamics of worker reallocation within and across industries,No citations
726670,food prices and body fatness among youths,No citations
559762,improving imputations of top incomes in the public use current population survey by using both cell means and variances,No citations
280291,gross employment flows in us coal mining,No citations
651269,evaluating estimates of materials offshoring from us manufacturing,No citations
300481,immigrant status race and institutional choice in higher education,No citations
921441,are states winning the fight evidence on the impact of state laws on bullying in schools,No citations
224353,the effect of technology use on productivity growth,Not in WOS or Misspelling
353675,information technology investment and firm performance in us retail trade,Not in WOS or Misspelling
307952,an option value approach to technology adoption in us manufacturing evidence from microdata,Not in WOS or Misspelling
692782,linking investment spikes and productivity growth,No citations
969229,measuring plant level energy efficiency and technical change in the us metal based durable manufacturing sector using stochastic frontier analysis,No citations
469547,estimating plant level energy efficiency with a stochastic frontier,No citations
974258,the impacts of lower natural gas prices on jobs in the us manufacturing sector,No citations
896717,creating linked datasets for sme energy assessment evidence building results from the us industrial assessment center program,No citations
616394,the performance of industrial sector voluntary climate programs climate wise and 1605(b),No citations
831400,taxation corruption and growth,No citations
230280,spatial evolution of the computer industry in the usa,No citations
962891,host country financial development and multinational activity,No citations
831399,where has all the skewness gone the decline in high growth (young) firms in the us,No citations
915310,the rise of exporting by us firms,No citations
984263,entry and exit of manufacturing plants over the business cycle,No citations
179414,output price markups and producer size,No citations
693043,offshoring wages and employment theory and evidence,No citations
788168,the paradox of progress the emergence of wage discrimination in us manufacturing,No citations
490626,professional employer organizations what are they who uses them and why should we care,Not in WOS or Misspelling
758937,black white differences in intergenerational economic mobility in the united states,Not in WOS or Misspelling
439788,dividend policy inside the multinational firm,No citations
784944,associations between soda prices and intake evidence from 24 h dietary recall data,No citations
685689,industrial structure and the sources of agglomeration economies evidence from manufacturing plant production,No citations
142007,the influence of location on productivity  manufacturing technology in rural and urban areas,No citations
474605,international trade and the changing demand for skilled workers in high tech manufacturing,No citations
590578,"does procedure profitability impact whether an outpatient surgery is performed at an ambulatory surgery center """"or"""" hospital",No citations
657243,health service use among the previously uninsured is subsidized health insurance enough,No citations
782318,nonlinear effects of soda taxes on consumption and weight outcomes,No citations
831705,copayments and emergency department use among adult medicaid enrollees,No citations
974439,how do economic downturns affect the mental health of children evidence from the national health interview survey,No citations
875863,heterogeneity in smokers responses to tobacco control policies,No citations
701875,the effect of medical malpractice liability on rate of referrals received by specialist physicians,No citations
961840,the consequences of long term unemployment evidence from linked survey and administrative data,No citations
813242,impacts of unionization on quality and productivity regression discontinuity evidence from nursing homes,No citations
879645,what businesses attract unions unionization over the life cycle of us establishments,No citations
979541,measuring job creation growth and survival among the universe of startups in the united states using a combined startup panel data set,No citations
938562,the poverty reduction of social security and means tested transfers,No citations
704497,how firms respond to business cycles the role of firm age and firm size,No citations
984229,the great recession and a missing generation of exporters,No citations
981478,startups job creation and founder characteristics,No citations
201795,firm performance and evolution  empirical regularities in the us microdata,Not in WOS or Misspelling
218927,beyond the incidence of employer provided training,No citations
590645,labor market rigidities and the employment behavior of older workers,No citations
279018,do high performance work practices improve establishment level outcomes,No citations
465271,are franchises bad employers,No citations
211845,sex segregation in us manufacturing,No citations
431070,families human capital and small business evidence from the characteristics of business owners survey,No citations
375492,the declining effects of osha inspections on manufacturing injuries 1979 1998,No citations
349230,escaping low earnings the role of employer characteristics and changes,No citations
49319,worker attitudes worker behavior and productivity in the us automobile industry 1959 1976,No citations
740788,offshoring and the polarization of the us labor market,No citations
652162,decomposing the sources of earnings inequality assessing the role of reallocation,No citations
343965,how workers fare when employers innovate,No citations
346375,why do employers retrain at risk workers the role of social capital,No citations
970974,vulnerable jobs and the wage effects of import competition,No citations
372031,the last american shoe manufacturers decreasing productivity and increasing profits in the shift from piece rates to continuous flow production,No citations
433274,"us multinational activity abroad and us jobs substitutes """"or"""" complements",No citations
685819,manufacturing plants use of temporary workers an analysis using census microdata,No citations
834140,firm level monopsony and the gender pay gap,No citations
302429,silicon mountains silicon molehills geographic concentration and convergence of internet industries in the us,No citations
419526,unstable inferences an examination of complex survey sample design adjustments using the current population survey for health services research,No citations
385745,the effect of schip expansions on health insurance decisions by employers,No citations
494643,does managed care improve access to care for medicaid beneficiaries with disabilities a national study,No citations
453690,individual health insurance within the family can subsidies promote family coverage,No citations
937973,medicaid and the labor supply of single mothers implications for health care reform,No citations
877529,plant exit and us imports from low wage countries,Not in WOS or Misspelling
673556,the task composition of offshoring by us multinationals,Not in WOS or Misspelling
317685,employer offers private coverage and the tax subsidy for health insurance 1987 and 1996,Not in WOS or Misspelling
294595,employer contribution methods and health insurance premiums does managed competition work,Not in WOS or Misspelling
401228,employer choices of family premium sharing,Not in WOS or Misspelling
592931,premium growth and its effect on employer sponsored insurance,No citations
980378,the impact of medicaid expansion on employer provision of health insurance,No citations
886850,the availability and marginal costs of dependent employer sponsored health insurance,No citations
897150,the impact of health insurance expansion on physician treatment choice medicare part d and physician prescribing,No citations
756495,estimating the impact of low income universal service programs,No citations
929600,competition productivity and survival of grocery stores in the great depression,No citations
377023,exit from regional manufacturing markets the role of entrant experience,No citations
660363,strategic alliance as a response to the threat of entry evidence from airline codesharing,No citations
273958,the impact of ownership changes a view from labor markets,No citations
883538,the distributional consequences of preferential trade liberalization firm level evidence,No citations
803839,the influence of firm global supply chains and foreign currency undervaluations on us trade disputes,No citations
889840,winners and losers in international trade the effects on us presidential voting,No citations
406610,is there really an export wage premium a case study of los angeles using matched employee employer data,No citations
549172,tariffs versus anti dumping duties,No citations
375643,alcohol drugs and violent crime,No citations
670576,persistent interindustry wage differences rent sharing and opportunity costs,Not in WOS or Misspelling
718639,the plant lifecycle of the average wage of employees in us manufacturing,Not in WOS or Misspelling
718638,the recent decline in employment dynamics,Not in WOS or Misspelling
515613,measuring network effects on trade a reexamination,No citations
974630,made in the usa a study of firm responses to domestic production incentives,No citations
706790,location of decision rights within multinational firms,No citations
332817,neighbourhood effects and housing demand,No citations
877667,import competition from and offshoring to low income countries implications for employment and wages at us domestic manufacturers,No citations
373241,the sensitivity of economic statistics to coding errors in personal identifiers,No citations
966124,modeling endogenous mobility in earnings determination,No citations
440252,using worker flows to measure firm dynamics,No citations
628878,employer to employer flows in the united states estimates using linked employer employee data,No citations
364259,the measurement of medicaid coverage in the sipp evidence from a comparison of matched records,No citations
201239,on measuring segregation in samples with small units,No citations
772775,"multiple imputation of missing """"or"""" faulty values under linear constraints",No citations
179583,nonresponse bias and business turnover rates  the case of the characteristics of business owners survey,No citations
100298,small area estimation of economic statistics,No citations
159049,establishment microdata for economic research and policy analysis  looking beyond the aggregates,No citations
251193,the contribution of establishment births and deaths to employment growth,No citations
542039,it and beyond the contribution of heterogeneous capital to productivity,No citations
515753,the impact of hurricanes katrina rita and wilma on business establishments,Not in WOS or Misspelling
984221,who files for personal bankruptcy in the united states,No citations
902970,the relationship between the school breakfast program and food insecurity,No citations
981612,was television responsible for a new generation of smokers,No citations
745863,the effects of corporate spin offs on productivity,No citations
907848,career concerns and the busy life of the young ceo,No citations
593475,national estimates of gross employment and job flows from the quarterly workforce indicators with demographic and industry detail,No citations
351179,why do employers pay for college,No citations
467541,the work disincentive effects of the disability insurance program in the 1990s,No citations
897384,misclassification in binary choice models,No citations
390998,a change of pace comparing the 1994 and 1999 pollution abatement costs and expenditures surveys,Not in WOS or Misspelling
493258,consistent cell means for top coded incomes in the public use march cps (1976 2007),Not in WOS or Misspelling
268496,survey attrition considerations in the medical expenditure panel survey,Not in WOS or Misspelling
712747,occupation inflation in the current population survey,Not in WOS or Misspelling
911029,the annual survey of entrepreneurs,Not in WOS or Misspelling
753837,computer networks and productivity revisited does plant size matter evidence and implications,Not in WOS or Misspelling
412354,using census business data to augment the mepsic,Not in WOS or Misspelling
140123,manufacturing establishments reclassified into new industries the effect of survey design rules,Not in WOS or Misspelling
227747,the manufacturing plant ownership change database  its construction and usefulness,Not in WOS or Misspelling
493259,capital energy substitution revisited new evidence from micro data,Not in WOS or Misspelling
665832,a concordance between ten digit us harmonized system codes and sic/naics product classes and industries,Not in WOS or Misspelling
383771,hierarchical sorting and learning costs theory and evidence from the law,No citations
660669,learning about the nature of production from equilibrium assignment patterns,No citations
123815,industrial de diversification and its consequences for productivity,No citations
741197,the role of asset testing in public health insurance reform,No citations
941345,a model of entry exit and plant level dynamics over the business cycle,No citations
445159,initial conditions at emancipation the long run effect on black white wealth and earnings inequality,No citations
945376,taken by storm business financing and survival in the aftermath of hurricane katrina,No citations
922073,spillovers from immigrant diversity in cities,No citations
555006,clusters and entrepreneurship,No citations
306900,agglomeration economies and productivity differences in us cities,No citations
400422,technological variety technological change and a geography of production techniques,No citations
751119,railroad expansion and industrialization evidence from meiji japan,No citations
607328,estimating trends in us income inequality using the current population survey the importance of controlling for censoring,No citations
655277,the reverse wage gap among educated white and black women,No citations
736016,does the retirement consumption puzzle differ across the distribution,No citations
920720,global firms,No citations
442874,firms in international trade,No citations
729662,fluctuations in uncertainty,No citations
412469,the flow approach to labor markets new data sources and micro macro links,No citations
738617,the role of entrepreneurship in us job creation and economic dynamism,No citations
917816,new perspectives on the decline of us manufacturing employment,No citations
871949,the new life cycle of women s employment disappearing humps sagging middles expanding tops,No citations
588790,offshoring bias in us manufacturing,No citations
871950,specialization then and now marriage children and the gender earnings gap across cohorts,No citations
738618,entrepreneurship as experimentation,No citations
795435,household surveys in crisis,No citations
597062,internal migration in the united states,No citations
933182,economic policies with endogenous entry and exit of plants,Not in WOS or Misspelling
305963,the market for tornado safety analysis of applications to the oklahoma safe room initiative,Not in WOS or Misspelling
326465,startup financing owner characteristics and survival,Not in WOS or Misspelling
467703,analysis of young neighborhood firms serving urban minority clients,No citations
645091,"supersize it the growth of retail chains and the rise of the ""big box"" store",No citations
902985,customer employee substitution evidence from gasoline stations,No citations
759633,labor regulations and european venture capital,No citations
876219,taking the leap the determinants of entrepreneurs hiring their first employee,No citations
518951,local industrial conditions and entrepreneurship how much of the spatial distribution can we explain,No citations
934388,business dynamics of innovating firms linking us patents with administrative data on workers and firms,No citations
965233,brighter prospects assessing the franchise advantage using census data,No citations
736059,delegation in multi establishment firms evidence from it purchasing,Not in WOS or Misspelling
377256,air pollution abatement costs under the clean air act evidence from the pace survey,No citations
707056,do environmental regulations disproportionately affect small businesses evidence from the pollution abatement costs and expenditures survey,No citations
238244,the impact of environmental constraints on productivity improvement in integrated paper plants,No citations
751202,"evidence of an ""energy management gap"" in us manufacturing spillovers from firm management practices to energy efficiency",No citations
970321,when do environmental regulations backfire onsite industrial electricity generation energy efficiency and policy instruments,No citations
887156,the effect of environmental regulation on plant level product mix a study of epas cluster rule,Not in WOS or Misspelling
686665,does cleanup of hazardous waste sites raise housing values evidence of spatially localized benefits,No citations
333006,plant vintage technology and environmental regulation,No citations
746073,do epa regulations affect labor demand evidence from the pulp and paper industry,No citations
800988,an integrated model of regional and local residential sorting with application to air quality,No citations
300995,jobs versus the environment an industry level perspective,No citations
351268,job creation and persistence in services and manufacturing,No citations
945392,the impact of bank credit on labor reallocation and aggregate industry productivity,No citations
962531,asset allocation in bankruptcy,No citations
884067,finance and growth at the firm level evidence from sba loans,No citations
358554,a multinational perspective on capital structure choice and internal capital markets,No citations
597181,watch what i do not what i say the unintended consequences of the homeland investment act,No citations
795496,capital and labor reallocation within firms,No citations
741276,broad based employee stock ownership motives and outcomes,No citations
219026,asset efficiency and reallocation decisions of bankrupt firms,No citations
289554,the market for corporate assets who engages in mergers and asset sales and are there efficiency gains,No citations
299221,do conglomerate firms allocate resources inefficiently across industries theory and evidence,No citations
470436,the industry life cycle acquisitions and investment does firm organization matter,No citations
699834,private and public merger waves,No citations
660826,on the life cycle dynamics of venture capital and non venture capital financed firms,No citations
310284,effects of corporate diversification on productivity,No citations
345366,"diversification discount """"or"""" premium new evidence from the business information tracking series",No citations
485471,the real determinants of asset sales,No citations
923528,product market characteristics and the choice between ipos and acquisitions,No citations
918538,the option to quit the effect of employee stock options on turnover,No citations
971116,bankruptcy spillovers,No citations
600895,ipo waves product market competition and the going public decision theory and evidence,No citations
925839,flexible prices and leverage,No citations
365242,the costs of shared ownership evidence from international joint ventures,No citations
480348,capital structure with risky foreign investment,No citations
880296,the us listing gap,No citations
959123,the cross section of labor leverage and equity returns,No citations
850022,taxes and leverage at multinational corporations,No citations
451943,why do firms hold so much cash a tax based explanation,No citations
984260,the effect of repatriation tax costs on us multinational investment,No citations
524197,democratizing entry banking deregulations financing constraints and entrepreneurship,No citations
686728,productivity restructuring and the gains from takeovers,No citations
105290,the effects of leveraged buyouts on productivity and related aspects of firm behavior,No citations
607477,post merger restructuring and the boundaries of the firm,No citations
729833,crises and confidence systemic banking crises and depositor behavior,No citations
736101,who works for startups the relation between firm age employee age and growth,No citations
782744,female leadership and gender equity evidence from plant closure,No citations
825225,the long term impacts of medicaid exposure in early childhood evidence from the programs origin,No citations
984276,local food prices snap purchasing power and child health,No citations
634070,the medical care costs of obesity an instrumental variables approach,No citations
491262,has public health insurance for older children reduced disparities in access to care and health outcomes,No citations
614911,school quality and the education health relationship evidence from blacks in segregated schools,No citations
917078,do medical marijuana laws reduce addictions and deaths related to pain killers,No citations
447972,do food stamps cause obesity evidence from immigrant experience,No citations
383936,the demand for dependent health insurance how important is the cost of family coverage,No citations
976866,disease outbreaks healthcare utilization and on time immunization in the first year of life,No citations
374450,an empirical investigation of the determinants of street homelessness,No citations
729921,do housing choice voucher holders live near good schools,No citations
982741,has falling crime invited gentrification,No citations
475083,location location location the 3l approach to house price determination,No citations
465338,intergenerational economic mobility in the united states 1940 to 2000,No citations
855380,"saying ""i dont"" the effect of the affordable care act young adult provision on marriage",Not in WOS or Misspelling
103018,new data bases in human resources  the characteristics of business owners data base,Not in WOS or Misspelling
166027,gender segregation in small firms,No citations
378901,relative deprivation poor health habits and mortality,No citations
645342,revising our thinking about the relationship between maternal labor supply and preschool,No citations
297933,market forces and sex discrimination,No citations
508132,partially identifying treatment effects with an application to covering the uninsured,No citations
275653,are children worse off evaluating well being using a new (and improved) measure of poverty,No citations
844463,saving teens using a policy discontinuity to estimate the effects of medicaid eligibility,No citations
976273,the long term effects of early life medicaid coverage,No citations
962027,the effects of aggregate and gender specific labor demand shocks on child health,No citations
297935,racial matching among african american and hispanic physicians and patients,No citations
563515,are college graduates more responsive to distant labor market opportunities,No citations
597232,learning by doing and market structure,No citations
792167,change at the checkout tracing the impact of a process innovation,No citations
789183,cross sectoral variation in the volatility of plant level idiosyncratic shocks,No citations
454050,advances in logistics and the growth of intra firm trade the case of canadian affiliates of us multinationals 1984 1995,No citations
213980,environmental regulation investment timing and technology choice,No citations
445299,prices spatial competition and heterogeneous producers an empirical test,No citations
489402,trade in high tech services,No citations
897618,managing valuable knowledge in weak ip protection countries,No citations
841170,the impact of information and communication technology adoption on multinational firm boundary decisions,No citations
257484,do world product mandates really matter,No citations
897619,patent protection and the composition of multinational activity evidence from us multinational firms,No citations
195359,exporters skill upgrading and the wage gap,No citations
230336,"exceptional exporter performance cause effect """"or"""" both",No citations
