articleID,year,journal,title_original,Title
100393,1990,journal of economics and business,implementing the growth-optimal policy for choosing portfolios,implementing the growthoptimal policy for choosing portfolios
100410,1990,journal of economic behavior and organization,the microanalytic approach for modeling national economies,the microanalytic approach for modeling national economies
100428,1990,journal of economic dynamics and control,the effects of taxes and dividend policy on capital accumulation and macroeconomic behavior,the effects of taxes and dividend policy on capital accumulation and macroeconomic behavior
100429,1990,journal of economic dynamics and control,sources of output fluctuations in the united states during the inter-war and post-war years,sources of output fluctuations in the united states during the interwar and postwar years
100430,1990,journal of economic dynamics and control,when does coordination pay?,when does coordination pay
100431,1990,journal of economic dynamics and control,on the term structure of interest rates,on the term structure of interest rates
100432,1990,journal of economic dynamics and control,output-inflation cycles in an economy with staggered wage setting,outputinflation cycles in an economy with staggered wage setting
100434,1990,journal of economic dynamics and control,how to do comparative dynamics on the back of an envelope in optimal control theory,how to do comparative dynamics on the back of an envelope in optimal control theory
100435,1990,journal of economic dynamics and control,delaying or deterring entry:  a game-theoretic analysis,delaying or deterring entry a gametheoretic analysis
100436,1990,journal of economic dynamics and control,optimal dynamic durability,optimal dynamic durability
100437,1990,journal of economic dynamics and control,migration under uncertainty about quality of locations,migration under uncertainty about quality of locations
100438,1990,journal of economic dynamics and control,the solution of the infinite horizon tracking problem for discrete time systems possessing an exogenous component,the solution of the infinite horizon tracking problem for discrete time systems possessing an exogenous component
100439,1990,journal of economic dynamics and control,periodic linear-quadratic methods for modeling seasonality,periodic linearquadratic methods for modeling seasonality
100458,1990,journal of economic history,the financial crisis of a.d. 33:  a keynesian depression?,the financial crisis of ad 33 a keynesian depression
100459,1990,journal of economic history,scattering and contracts in medieval agriculture: challenges ahead,scattering and contracts in medieval agriculture challenges ahead
100460,1990,journal of economic history,bank entry and the low issue of national bank notes:  a re-examination,bank entry and the low issue of national bank notes a reexamination
100461,1990,journal of economic history,exchange rates and economic recovery in the 1930s:  an extension to latin america,exchange rates and economic recovery in the 1930s an extension to latin america
100481,1990,journal of economic literature,analysis and vision in the history of modern economic thought,analysis and vision in the history of modern economic thought
100482,1990,journal of economic literature,what is new-keynesian economics?,what is newkeynesian economics
100487,1990,journal of economic perspectives,government failures in development,government failures in development
100488,1990,journal of economic perspectives,market failure and government failure,market failure and government failure
100489,1990,journal of economic perspectives,industrial policy in an export-propelled economy:  lessons from south korea's experience,industrial policy in an exportpropelled economy lessons from south koreas experience
100490,1990,journal of economic perspectives,the latin american state,the latin american state
100491,1990,journal of economic perspectives,innovation and cooperation:  implications for competition and antitrust,innovation and cooperation implications for competition and antitrust
100492,1990,journal of economic perspectives,antitrust law and innovation cooperation,antitrust law and innovation cooperation
100493,1990,journal of economic perspectives,on the antitrust treatment of production joint ventures,on the antitrust treatment of production joint ventures
100494,1990,journal of economic perspectives,the affinity between ownership forms and coordination mechanisms:  the common experience of reform in socialist countries,the affinity between ownership forms and coordination mechanisms the common experience of reform in socialist countries
100496,1990,journal of economic perspectives,on the economics of crime and confiscation,on the economics of crime and confiscation
100497,1990,journal of economic perspectives,foreign exchange,foreign exchange
100499,1990,journal of economic perspectives,tax credits for low-income workers with children,tax credits for lowincome workers with children
100557,1990,journal of finance,information content of insider trading around corporate announcements: the case of capital expenditures,information content of insider trading around corporate announcements the case of capital expenditures
100560,1990,journal of finance,equilibrium exchange rate hedging,equilibrium exchange rate hedging
100561,1990,journal of finance,default risk in futures markets: the customer-broker relationship,default risk in futures markets the customerbroker relationship
100582,1990,journal of finance,forward and futures prices:  evidence from the foreign exchange markets,forward and futures prices evidence from the foreign exchange markets
100583,1990,journal of finance,changes in the cost of intermediation:  the case of savings and loans,changes in the cost of intermediation the case of savings and loans
100584,1990,journal of financial and quantitative analysis,estimation of stock price variances and serial covariances from discrete observations,estimation of stock price variances and serial covariances from discrete observations
100585,1990,journal of financial and quantitative analysis,monetary regimes and the relation between stock returns and inflationary expectations,monetary regimes and the relation between stock returns and inflationary expectations
100586,1990,journal of financial and quantitative analysis,time-varying return and risk in the corporate bond market,timevarying return and risk in the corporate bond market
100587,1990,journal of financial and quantitative analysis,securityholder taxes and corporate restructurings,securityholder taxes and corporate restructurings
100588,1990,journal of financial and quantitative analysis,the heterogeneous investment horizon and the capital asset pricing model:  theory and implications,the heterogeneous investment horizon and the capital asset pricing model theory and implications
100589,1990,journal of financial and quantitative analysis,the relation between risk and optimal debt maturity and the value of leverage,the relation between risk and optimal debt maturity and the value of leverage
100590,1990,journal of financial and quantitative analysis,"stock returns, money, and fiscal deficits",stock returns money and fiscal deficits
100592,1990,journal of financial and quantitative analysis,a nonparametric distribution-free test for serial independence in stock returns:  a correction,a nonparametric distributionfree test for serial independence in stock returns a correction
100622,1990,journal of human resources,assessing empirical approaches for analyzing taxes and labor supply,assessing empirical approaches for analyzing taxes and labor supply
100624,1990,journal of human resources,"labor supply, income taxes, and hours restrictions in the netherlands",labor supply income taxes and hours restrictions in the netherlands
100671,1990,journal of the japanese and international economies,do the japanese elderly reduce their total wealth?  a new look with different data,do the japanese elderly reduce their total wealth a new look with different data
100672,1990,"journal of law, economics, and organization",the politics of government decision making:  regulatory institutions,the politics of government decision making regulatory institutions
100674,1990,"journal of law, economics, and organization",diseconomies of scale in employment contracts,diseconomies of scale in employment contracts
100675,1990,"journal of law, economics, and organization","optimal deterrence, uninformed individuals, and acquiring information about whether acts are subject to sanctions",optimal deterrence uninformed individuals and acquiring information about whether acts are subject to sanctions
100676,1990,"journal of law, economics, and organization","investment ""myopia"" and the internal organization of capital allocation decisions",investment myopia and the internal organization of capital allocation decisions
100677,1990,"journal of law, economics, and organization",the comparative advantage of long-term contracts and firms,the comparative advantage of longterm contracts and firms
100678,1990,"journal of law, economics, and organization","time, space, and shopping:  the regulation of shopping hours",time space and shopping the regulation of shopping hours
100679,1990,"journal of law, economics, and organization",optimal prosecution of defendants whose guilt is uncertain,optimal prosecution of defendants whose guilt is uncertain
100680,1990,"journal of law, economics, and organization",rings and promises,rings and promises
100681,1990,"journal of law, economics, and organization",the framing hypothesis:  is it supported by credit card issuer opposition to a surcharge on a cash price?,the framing hypothesis is it supported by credit card issuer opposition to a surcharge on a cash price
100682,1990,"journal of law, economics, and organization",an analysis of the stock price effect of the 1986 ohio takeover legislation,an analysis of the stock price effect of the 1986 ohio takeover legislation
100683,1990,"journal of law, economics, and organization",shareholder wealth effects of the 1986 ohio antitakeover law revisited:  its real effects,shareholder wealth effects of the 1986 ohio antitakeover law revisited its real effects
100684,1990,"journal of law, economics, and organization",a rational choice theory of supreme court statutory decisions with applications to the  state farm and  grove city cases,a rational choice theory of supreme court statutory decisions with applications to the state farm and grove city cases
100686,1990,"journal of law, economics, and organization",auctions and contract enforcement,auctions and contract enforcement
100687,1990,"journal of law, economics, and organization",the english rule for allocating legal costs: evidence confronts theory,the english rule for allocating legal costs evidence confronts theory
100688,1990,"journal of law, economics, and organization",legal restrictions on private contracts can enhance efficiency,legal restrictions on private contracts can enhance efficiency
100689,1990,"journal of law, economics, and organization",enforcement costs and the optimal progressivity of income taxes,enforcement costs and the optimal progressivity of income taxes
100690,1990,"journal of law, economics, and organization",costly litigation and legal error under negligence,costly litigation and legal error under negligence
100691,1990,"journal of law, economics, and organization",switching costs and bidding parity in government procurement of computer systems,switching costs and bidding parity in government procurement of computer systems
100721,1990,journal of mathematical economics,on the upper and lower semicontinuity of the aumann integral,on the upper and lower semicontinuity of the aumann integral
100722,1990,journal of mathematical economics,on non-atomic weighted majority games,on nonatomic weighted majority games
100747,1990,"journal of money, credit, and banking",the international debt crisis and bank loan-loss-reserve decisions:  the signaling content of partially anticipated events,the international debt crisis and bank loanlossreserve decisions the signaling content of partially anticipated events
100759,1990,journal of policy analysis and management,the policy research markets,the policy research markets
100763,1990,journal of policy analysis and management,"innovation in public sector human services programs:  the implications of innovation by ""groping along.""",innovation in public sector human services programs the implications of innovation by groping along
100776,1990,journal of policy analysis and management,introduction to symposium on managing local development,introduction to symposium on managing local development
100779,1990,journal of policy analysis and management,improving economic development strategies: symposium comment,improving economic development strategies symposium comment
100786,1990,journal of policy modeling,presidential elections and the federal reserve's interest rate reaction function,presidential elections and the federal reserves interest rate reaction function
100787,1990,journal of policy modeling,testing for political business cycles,testing for political business cycles
100788,1990,journal of policy modeling,alternative financing of social insurance systems,alternative financing of social insurance systems
100790,1990,journal of policy modeling,the world trade model:  revised estimates,the world trade model revised estimates
100791,1990,journal of policy modeling,the structural impact of the small refiner bias:  an econometric analysis,the structural impact of the small refiner bias an econometric analysis
100793,1990,journal of policy modeling,the long-run behavior of velocity:  the institutional approach revisited,the longrun behavior of velocity the institutional approach revisited
100795,1990,journal of policy modeling,developments in monetary aggregation theory,developments in monetary aggregation theory
100797,1990,journal of policy modeling,empirical predictions of the new monetary economics: perspectives on velocity,empirical predictions of the new monetary economics perspectives on velocity
100799,1990,journal of policy modeling,"money demand, expectations, and the forward-looking model",money demand expectations and the forwardlooking model
100802,1990,journal of policy modeling,buffer stock models of the demand for money and the conduct of monetary policy,buffer stock models of the demand for money and the conduct of monetary policy
100804,1990,journal of policy modeling,"buffer stocks, credit, and aggregation effects in the demand for broad money:  theory and an application to the u.k.  personal sector",buffer stocks credit and aggregation effects in the demand for broad money theory and an application to the uk personal sector
100807,1990,journal of policy modeling,the demand for money and the monetary policy process in canada,the demand for money and the monetary policy process in canada
100809,1990,journal of policy modeling,modeling money demand in large industrial countries:  buffer stock and error correction approaches,modeling money demand in large industrial countries buffer stock and error correction approaches
100828,1990,journal of political economy,shark repellents and managerial myopia:  an empirical test,shark repellents and managerial myopia an empirical test
100829,1990,journal of political economy,the problem of development:  introduction,the problem of development introduction
100857,1990,journal of public economics,"housing, taxes, and capital allocation",housing taxes and capital allocation
100872,1990,journal of risk and insurance,classifying financial distress in the life insurance industry,classifying financial distress in the life insurance industry
100928,1990,journal of urban economics,a theory and empirical test of land option pricing,a theory and empirical test of land option pricing
100930,1990,journal of urban economics,commuting between local authorities in england and wales: econometric evidence from the 1981 census,commuting between local authorities in england and wales econometric evidence from the 1981 census
100931,1990,journal of urban economics,market segmentation and valuing amenities with hedonic models: the case of hazardous waste sites,market segmentation and valuing amenities with hedonic models the case of hazardous waste sites
100935,1990,journal of urban economics,taste heterogeneity and urban spatial structure:  the logit model and monocentric theory reconciled,taste heterogeneity and urban spatial structure the logit model and monocentric theory reconciled
100938,1990,journal of urban economics,"an analysis of inefficiency due to inadequate mortgage financing:  the case of seoul, korea",an analysis of inefficiency due to inadequate mortgage financing the case of seoul korea
100939,1990,journal of urban economics,knowledge and production in the cbd,knowledge and production in the cbd
101041,1990,monthly labor review,recent gains in women's earnings:  better pay or longer hours?,recent gains in womens earnings better pay or longer hours
101042,1990,monthly labor review,raising the minimum wage: effects on family poverty,raising the minimum wage effects on family poverty
101043,1990,monthly labor review,productivity in the rubber and plastics hose and belting industry,productivity in the rubber and plastics hose and belting industry
101045,1990,monthly labor review,productivity in industry and government in 1988,productivity in industry and government in 1988
101046,1990,monthly labor review,"population changes, the baby boom, and the unemployment rate",population changes the baby boom and the unemployment rate
101049,1990,monthly labor review,employee absences in 1989:  a new look at data from the cps,employee absences in 1989 a new look at data from the cps
101050,1990,monthly labor review,would a higher minimum wage help poor families headed by women?,would a higher minimum wage help poor families headed by women
101052,1990,monthly labor review,life insurance benefits for retired workers,life insurance benefits for retired workers
101054,1990,monthly labor review,profiles in safety and health:  roofing and sheet metal work,profiles in safety and health roofing and sheet metal work
101071,1990,national tax journal,taxes and spending under gramm-rudman-hollings,taxes and spending under grammrudmanhollings
101073,1990,national tax journal,"precautionary saving, wealth accumulation, and the saving downturn of the 1980s",precautionary saving wealth accumulation and the saving downturn of the 1980s
101074,1990,national tax journal,iras and national savings,iras and national savings
101075,1990,national tax journal,transfer pricing issues,transfer pricing issues
101076,1990,national tax journal,health policy issues for the 1990s,health policy issues for the 1990s
101077,1990,national tax journal,"franchises, intangible capital, and assets",franchises intangible capital and assets
101078,1990,national tax journal,corporate integration puzzles,corporate integration puzzles
101079,1990,national tax journal,fiscal federalism and the changing global economy,fiscal federalism and the changing global economy
101080,1990,national tax journal,the state and local fiscal outlook: what have we learned and where are we headed?,the state and local fiscal outlook what have we learned and where are we headed
101081,1990,national tax journal,raising revenue by taxing activities with social costs,raising revenue by taxing activities with social costs
101082,1990,national tax journal,the forces shaping tax policy today,the forces shaping tax policy today
101083,1990,national tax journal,social security: the labrea tar pits of public policy,social security the labrea tar pits of public policy
101084,1990,national tax journal,the rise and fall of the medicare catastrophic coverage act,the rise and fall of the medicare catastrophic coverage act
101180,1990,public choice,the impact of citizen influence on local government expenditure,the impact of citizen influence on local government expenditure
101181,1990,public choice,efficient use of reference group cues in a single dimension,efficient use of reference group cues in a single dimension
101183,1990,public choice,fiscal variables and growth:  a cross-sectional analysis,fiscal variables and growth a crosssectional analysis
101184,1990,public choice,state lotteries as duopoly transfer mechanisms,state lotteries as duopoly transfer mechanisms
101185,1990,public choice,"cycle avoiding trajectories, strategic agendas, and the duality of memory and foresight:  an informal exposition",cycle avoiding trajectories strategic agendas and the duality of memory and foresight an informal exposition
101187,1990,public choice,investments in rent-seeking,investments in rentseeking
101188,1990,public choice,committees and the core of the constitution,committees and the core of the constitution
101189,1990,public choice,the pits and the core:  simple collective decision problems with concave preferences,the pits and the core simple collective decision problems with concave preferences
101190,1990,public choice,the structure of the banks set,the structure of the banks set
101191,1990,public choice,probability calculations for transitivity of simple majority rule with anonymous voters,probability calculations for transitivity of simple majority rule with anonymous voters
101192,1990,public choice,general fund financing versus earmarked taxes:  an alternative model of budgetary choice in a democracy,general fund financing versus earmarked taxes an alternative model of budgetary choice in a democracy
101193,1990,public choice,collective decision making and the limits on the organization's size,collective decision making and the limits on the organizations size
101195,1990,public choice,"boards of trustees, agency problems, and university output",boards of trustees agency problems and university output
101196,1990,public choice,"shirking, representation, and congressional behavior:  voting on the 1983 amendments to the social security act",shirking representation and congressional behavior voting on the 1983 amendments to the social security act
101197,1990,public choice,the simple analytics of slack-maximizing bureaucracy,the simple analytics of slackmaximizing bureaucracy
101198,1990,public choice,pressure politics and government spending in belgium,pressure politics and government spending in belgium
101199,1990,public choice,economic performance and political popularity in the republic of ireland,economic performance and political popularity in the republic of ireland
101200,1990,public choice,a constitutional view of legislative pay,a constitutional view of legislative pay
101201,1990,public choice,a brief empirical note on the tiebout hypothesis and state income tax policies,a brief empirical note on the tiebout hypothesis and state income tax policies
101202,1990,public choice,protectionist policies as the regulation of international industry,protectionist policies as the regulation of international industry
101204,1990,public choice,on the limits to rent-seeking waste,on the limits to rentseeking waste
101205,1990,public choice,family ties and social security in a democracy,family ties and social security in a democracy
101206,1990,public choice,"bureaucracy, inefficiency, and time",bureaucracy inefficiency and time
101207,1990,public choice,the optimal subsidization of baptists by bootleggers,the optimal subsidization of baptists by bootleggers
101223,1990,quarterly journal of economics,consumer investment in product-specific capital: the monopoly case,consumer investment in productspecific capital the monopoly case
101224,1990,quarterly journal of economics,export subsidies as an outcome of the management-labor conspiracy,export subsidies as an outcome of the managementlabor conspiracy
101225,1990,quarterly journal of economics,the information in the longer maturity term structure about future inflation,the information in the longer maturity term structure about future inflation
101226,1990,rand journal of economics,the economic incidence of the interstate commerce act of 1887: a theoretical and empirical analysis of the short-haul pricing constraint,the economic incidence of the interstate commerce act of 1887 a theoretical and empirical analysis of the shorthaul pricing constraint
101227,1990,rand journal of economics,firm behavior in franchise monopoly markets,firm behavior in franchise monopoly markets
101231,1990,rand journal of economics,the performance of long-term contracts: further evidence from coal markets,the performance of longterm contracts further evidence from coal markets
101237,1990,regional studies,graduation of fertility schedules:  an analysis of fertility patterns in london in the 1980s and an application to fertility forecasts,graduation of fertility schedules an analysis of fertility patterns in london in the 1980s and an application to fertility forecasts
101240,1990,regional studies,training as an instrument of regional policy:  the new panacea?,training as an instrument of regional policy the new panacea
101241,1990,regional studies,the impact of the scottish enterprise reforms on vocational education and training,the impact of the scottish enterprise reforms on vocational education and training
101245,1990,regional studies,piercing the corporate veil: the closure of wisconsin steel in south chicago,piercing the corporate veil the closure of wisconsin steel in south chicago
101246,1990,regional studies,regional financial sector models:  an application to the northern ireland financial sector,regional financial sector models an application to the northern ireland financial sector
101249,1990,regional studies,the channel tunnel and regional development:  policy responses in britain and france,the channel tunnel and regional development policy responses in britain and france
101254,1990,regional science and urban economics,panel data analysis of housing choices,panel data analysis of housing choices
101274,1990,review of economic studies,repeated games with long-run and short-run players,repeated games with longrun and shortrun players
101286,1990,review of economics and statistics,do socialist countries suffer a common business cycle?,do socialist countries suffer a common business cycle
101291,1990,review of economics and statistics,credit rationing and private transfers:  evidence from survey data,credit rationing and private transfers evidence from survey data
101294,1990,review of economics and statistics,specification of the technology for neoclassical investment theory:  testing the adjustment costs approach,specification of the technology for neoclassical investment theory testing the adjustment costs approach
101298,1990,review of economics and statistics,a monte carlo evaluation of the box-cox difference transformation,a monte carlo evaluation of the boxcox difference transformation
101299,1990,review of economics and statistics,estimation of a linear sur model with unequal numbers of observations,estimation of a linear sur model with unequal numbers of observations
101300,1990,review of economics and statistics,"a simple, consistent estimator for disturbance components in financial models",a simple consistent estimator for disturbance components in financial models
101301,1990,review of economics and statistics,alternative methods of depreciation and the reliability of accounting measures of economic profits,alternative methods of depreciation and the reliability of accounting measures of economic profits
101302,1990,review of economics and statistics,durable asset depreciation:  a reconciliation between hypotheses,durable asset depreciation a reconciliation between hypotheses
101303,1990,review of economics and statistics,on some sample path properties of intra-day futures prices,on some sample path properties of intraday futures prices
101304,1990,review of economics and statistics,worker responses to occupational risk of cancer,worker responses to occupational risk of cancer
101306,1990,review of economics and statistics,a test of executive behavior in the local public sector,a test of executive behavior in the local public sector
101339,1990,scandinavian journal of economics,economies of scale and scope in thrift institutions: the case of finnish cooperative and savings banks,economies of scale and scope in thrift institutions the case of finnish cooperative and savings banks
101343,1990,scandinavian journal of economics,the benefit rule for a pure public good in the presence of a social security program,the benefit rule for a pure public good in the presence of a social security program
101345,1990,scandinavian journal of economics,"tax rates, government expenditures and labor supply: clarifying the record",tax rates government expenditures and labor supply clarifying the record
101472,1990,urban studies,the wage effects of residential location and commuting constraints on employed married women,the wage effects of residential location and commuting constraints on employed married women
101473,1990,urban studies,poverty as a constraint to citizen participation in urban redevelopment in developing countries:  a case study,poverty as a constraint to citizen participation in urban redevelopment in developing countries a case study
101477,1990,urban studies,development in mid-wales:  a comment,development in midwales a comment
101478,1990,urban studies,mid-wales:  choosing the right perspectives,midwales choosing the right perspectives
101481,1990,urban studies,"categorical, multivariate analysis of intra-urban migration",categorical multivariate analysis of intraurban migration
101505,1990,world development,the structural adjustment of politics in africa,the structural adjustment of politics in africa
101517,1990,world development,some economic determinants of third world professional immigration to the united states: 1972-87,some economic determinants of third world professional immigration to the united states 197287
101522,1990,world development,after the decision: implementing policy reforms in developing countries,after the decision implementing policy reforms in developing countries
101561,1990,american economic review,beneficial concentration,beneficial concentration
101562,1990,american economic review,horizontal mergers:  the 50-percent benchmark,horizontal mergers the 50percent benchmark
101563,1990,american economic review,input market price discrimination and the choice of technology,input market price discrimination and the choice of technology
101566,1990,american economic review,the measurement of international trade related to multinational companies,the measurement of international trade related to multinational companies
101568,1990,american economic review,auction institutional design:  theory and behavior of simultaneous multiple-unit generalizations of the dutch and english auctions,auction institutional design theory and behavior of simultaneous multipleunit generalizations of the dutch and english auctions
101652,1990,annals of regional science,"city size, prices, and efficiency for individual goods and services",city size prices and efficiency for individual goods and services
101659,1990,annals of regional science,context specific media choice and barriers to communication in universities,context specific media choice and barriers to communication in universities
101664,1990,annals of regional science,barriers to communication: a literature review,barriers to communication a literature review
101728,1990,british journal of industrial relations,the impact of industrial relations legislation on british union density,the impact of industrial relations legislation on british union density
101731,1990,british journal of industrial relations,"quit rates and the impact of participation, profit-sharing and unionization: empirical evidence from uk engineering firms",quit rates and the impact of participation profitsharing and unionization empirical evidence from uk engineering firms
101732,1990,british journal of industrial relations,on the employment effects of introducing a national minimum wage in the uk,on the employment effects of introducing a national minimum wage in the uk
101735,1990,british journal of industrial relations,an index measure of british trade union density,an index measure of british trade union density
101740,1990,british journal of industrial relations,institutional aspects of youth employment and training policy in britain,institutional aspects of youth employment and training policy in britain
101892,1990,demography,what's happening to the family?  interactions between demographic and institutional change,whats happening to the family interactions between demographic and institutional change
101893,1990,demography,when is a father really gone?  paternal-child contact in father-absent homes,when is a father really gone paternalchild contact in fatherabsent homes
101894,1990,demography,"welfare benefits, economic opportunities, and out-of-wedlock births among black teenage girls",welfare benefits economic opportunities and outofwedlock births among black teenage girls
101895,1990,demography,adolescent sexual activity in the family context: the impact of older siblings,adolescent sexual activity in the family context the impact of older siblings
101896,1990,demography,determinants of contraceptive switching behavior in rural sri lanka,determinants of contraceptive switching behavior in rural sri lanka
101897,1990,demography,"fertility desires and fertility: hers, his, and theirs",fertility desires and fertility hers his and theirs
101898,1990,demography,residential preferences and population redistribution: 1972-1988,residential preferences and population redistribution 19721988
101899,1990,demography,rural-to-urban migration and child survival in senegal,ruraltourban migration and child survival in senegal
101900,1990,demography,recent trends in the process of stratification,recent trends in the process of stratification
101943,1990,econometric theory,worldwide rankings of research activity in econometrics:  an update: 1980-1988,worldwide rankings of research activity in econometrics an update 19801988
101944,1990,econometric theory,"a unified approach to robust, regression-based specification tests",a unified approach to robust regressionbased specification tests
101945,1990,econometric theory,time series regression with a unit root and infinite-variance errors,time series regression with a unit root and infinitevariance errors
101946,1990,econometric theory,"unbiased estimation of the mse matrix of stein-rule estimators, confidence ellipsoids, and hypothesis testing",unbiased estimation of the mse matrix of steinrule estimators confidence ellipsoids and hypothesis testing
101947,1990,econometric theory,asymptotic expansions of the distributions of statistics related to the spectral density matrix in multivariate time series and their applications,asymptotic expansions of the distributions of statistics related to the spectral density matrix in multivariate time series and their applications
101948,1990,econometric theory,interpretation of graphs that compare the distribution functions of estimators,interpretation of graphs that compare the distribution functions of estimators
101949,1990,econometric theory,bandwidth selection in semiparametric estimation of censored linear regression models,bandwidth selection in semiparametric estimation of censored linear regression models
101951,1990,econometric theory,on the sensitivity of a regression coefficient to monotonic transformations,on the sensitivity of a regression coefficient to monotonic transformations
101953,1990,econometric theory,efficient estimation of linear and type i censored regression models under conditional quantile restrictions,efficient estimation of linear and type i censored regression models under conditional quantile restrictions
101954,1990,econometric theory,"stationarity and persistence in the garch(1,1) model",stationarity and persistence in the garch(11) model
101955,1990,econometric theory,the local power of the cusum and cusum of squares tests,the local power of the cusum and cusum of squares tests
101956,1990,econometric theory,model-free asymptotically best forecasting of stationary economic time series,modelfree asymptotically best forecasting of stationary economic time series
101957,1990,econometric theory,the fredholm approach to asymptotic inference on nonstationary and noninvertible time series models,the fredholm approach to asymptotic inference on nonstationary and noninvertible time series models
101958,1990,econometric theory,testing for a moving average unit root,testing for a moving average unit root
101959,1990,econometric theory,functional forms of characteristic functions and characterizations of multivariate distributions,functional forms of characteristic functions and characterizations of multivariate distributions
101960,1990,econometric theory,strong consistency in nonlinear regression,strong consistency in nonlinear regression
101961,1990,econometric theory,additive interactive regression models:  circumvention of the curse of dimensionality,additive interactive regression models circumvention of the curse of dimensionality
101972,1990,econometrica,common knowledge of an aggregate of expectations,common knowledge of an aggregate of expectations
101973,1990,econometrica,a simple characterization of stochastically monotone functions,a simple characterization of stochastically monotone functions
101974,1990,econometrica,time consistency of fiscal and monetary policy:  a comment,time consistency of fiscal and monetary policy a comment
