title,journal,authors,year
Postschool Education and Training: Accessible to All?," Review of Black Political Economy 15,3 ","Adams, Arvil Van, Stephen L. Mangum and Philip W. Wirtz. ",1987
"Interregional Migration, Education and Poverty in the Urban Ghetto: Another Look at Black-White Earnings Differentials."," Review of Economics and Statistics 58,2 ","Adams, Arvil Van and Gilbert Nestel. ",1976
Occupational Skill Mismatch: Differences by Gender and Cohort.," ILR Review 73 ,3 ","Addison, John T., Liwen Chen and Orgul Demet Ozturk. ",2020
Atypical Jobs: Stepping Stones or Dead Ends? Evidence from the NLSY79.," The Manchester School 83,1 ","Addison, John T., Chad D. Cotti and Christopher James Surfield. ",2015
The Occupational Feminization of Wages.," Industrial Relations and Labor [IRL] Review 71,1 ","Addison, John T., Orgul Demet Ozturk and Si Wang. ",2018
The Role of Gender in Promotion and Pay over a Career.," Journal of Human Capital 8,3 ","Addison, John T., Orgul Demet Ozturk and Si Wang. ",2014
Atypical Work and Employment Continuity.," Industrial Relations: A Journal of Economy and Society 48,4 ","Addison, John T. and Christopher James Surfield. ",2009
Atypical Work and Pay.," Southern Economic Journal 73,4 ","Addison, John T. and Christopher James Surfield. ",2007
"Debt, Cohabitation, and Marriage in Young Adulthood."," Demography 51,5 ","Addo, Fenaba. ",2014
Financial Integration and Relationship Transitions of Young Adult Cohabiters.," Journal of Family and Economic Issues 38,1 ","Addo, Fenaba. ",2017
Seeking Relief: Bankruptcy and Health Outcomes of Adult Women., SSM - Population Health 3 ,"Addo, Fenaba. ",2017
The Changing Nature of the Association Between Student Loan Debt and Marital Behavior in Young Adulthood.," Journal of Family and Economic Issues 40,1 ","Addo, Fenaba, Jason N. Houle and Sharon Sassler. ",2019
"Young, Black, and (Still) in the Red: Parental Wealth, Race, and Student Loan Debt."," Race and Social Problems 8,1 ","Addo, Fenaba, Jason N. Houle and Daniel Simon. ",2016
Reexamining the Association of Maternal Age and Marital Status at First Birth With Youth Educational Attainment.," Journal of Marriage and Family 78,5 ","Addo, Fenaba, Sharon Sassler and Kristi Williams. ",2016
"Stature, Obesity, and Portfolio Choice."," Management Science 63,10 ","Addoum, Jawad M., George M. Korniotis and Alok Kumar. ",2017
Enabling Healthy Living: Spatiotemporal Patterns of Prevalence of Overweight and Obesity among Youths in the United States.," International Journal of Applied Geospatial Research 6,2 ","Adu-Prah, Samuel and Tonny Oyana. ",2015
Explaining Female Teenagers' Sexual Behavior and Outcomes: A Bivariate Probit Analysis with Selectivity Correction.," Journal of Family and Economic Issues 18,1","Afxentiou, Diamando and Clifford B. Hawley. ",1997
Does College Education Pay? Evidence From The NLSY-79 Data.," Contemporary Issues in Education Research 3,1 ","Afxentiou, Diamando and Paul Kutasovic. ",2010
Is The Wage Gap Between High School And College Graduates Widening? A Panel Analysis.," Journal of Business and Economics Research 7,12 ","Afxentiou, Diamando and Paul Kutasovic. ",2009
"Child Maturation, Time-invariant, and Time-varying Inputs: Their Interaction in the Production of Child Human Capital ."," Journal of Productivity Analysis 38,1 ","Agee, Mark D., Scott E. Atkinson and Thomas D. Crocker. ",2012
Multiple-output Child Health Production Functions: The Impact of Time-varying and Time-invariant Inputs.," Southern Economic Journal 75,2 ","Agee, Mark D., Scott E. Atkinson and Thomas D. Crocker. ",2008
The Responsiveness of the Demand for Condoms to the Local Prevalence of AIDS.," Journal of Human Resources 31,4 ","Ahituv, Avner, V. Joseph Hotz and Tomas Philipson. ",1996
"How Do Marital Status, Work Effort, and Wage Rates Interact?"," Demography 44,3 ","Ahituv, Avner and Robert I. Lerman. ",2007
"Job Turnover, Wage Rates, and Marital Stability: How Are They Related? ."," Review of Economics of the Household 9,2 ","Ahituv, Avner and Robert I. Lerman. ",2011
"Employment, Motherhood, and School Continuation Decisions of Young White, Black, and Hispanic Women."," Journal of Labor Economics 22,1 ","Ahituv, Avner and Marta Tienda. ",2004
Teenage Childbearing and High School Completion: Accounting for Individual Heterogeneity.," Family Planning Perspectives 26,1 ","Ahn, Namkee. ",1994
Attitudes Toward Risk and Self-Employment of Young Workers.," Labour Economics 17,2 ","Ahn, Taehyun. ",2010
Locus of Control and Job Turnover.," Economic Inquiry 53,2 ","Ahn, Taehyun. ",2015
Racial Differences in Self-employment Exits.," Small Business Economics 36,2 ","Ahn, Taehyun. ",2011
The Employment Dynamics of Less-educated Men in the United States: The Role of Self-employment.," Canadian Journal of Economics 48,1 ","Ahn, Taehyun. ",2015
"Is There a Career Penalty for Mothers' Time Out - A Comparison of Germany, Sweden and the United States."," Social Forces 88,2 ","Aisenbrey, Silke, Marie Evertsson and Daniela Grunow. ",2009
The Interplay of Work and Family Trajectories over the Life Course: Germany and the United States in Comparison.," American Journal of Sociology 122,5 ","Aisenbrey, Silke and Anette Fasang. ",2017
Marijuana Use among Adults: A Longitudinal Study of Current and Former Users.," Journal of Substance Abuse 12,3 ","Aitken, Sherrie S., James Desantis, Thomas C. Harford and M. Fe Caces. ",2000
Home Alone: Supervision After School and Child Behavior.," Journal of Public Economics 88, 9-10 ","Aizer, Anna. ",2004
"The Impact of Child Support Enforcement on Fertility, Parental Investments, and Child Well-being."," The Journal of Human Resources 41,1 ","Aizer, Anna and Sara S. McLanahan. ",2006
Marijuana Use and Self-reported Quality of Eyesight.," Optometry and Vision Science 94,5 ","Akano, Obinna F. ",2017
The Impact of Biological Preferences on Parental Investments in Children and Step-Children.," Review of Economics of the Household 7,1 ","Akashi-Ronquest, Naoko. ",2009
Intergenerational Persistence of Health: Do Immigrants Get Healthier as They Remain in the U.S. for More Generations?, Economics and Human Biology 23 ,"Akbulut-Yuksel, Mevlude and Adriana D. Kugler. ",2016
An Experience-Weighted Measure of Employment and Unemployment Durations.," American Economic Review 71,5 ","Akerlof, George A. and Brian G. Main. ",1981
Maximum Likelihood Estimation with Pooled Observations: An Example from Labor Economics.," International Economic Review 21,3 ","Akerlof, George A. and Brian G. Main. ",1980
Objective and Perceived Weight: Associations with Risky Adolescent Sexual Behavior.," Perspectives on Sexual and Reproductive Health 48,3 ","Akers, Aletha Y., Elan D. Cohen, Michael P. Marshal, Geoff Roebuck, Lan Yu and Alison E. Hipwell. ",2016
The Black-White Wage Gap Among Young Women in 1990 vs. 2011: The Role of Selection and Educational Attainment., Labour Economics 33 ,"Albrecht, James, Aico van Vuuren and Susan Vroman. ",2015
Human Capital in the Inner City.," Empirical Economics 53,3 ","Aliprantis, Dionissi. ",2017
Child Support Guidelines and Divorce Incentives.," International Review of Law and Economics 32,3 ","Allen, Douglas W. and Margaret F. Brinig. ",2012
The Use of Discordant Sibling Pairs for Finding Genetic Loci Linked to Obesity: Practical Considerations.," International Journal of Obesity and Related Metabolic Disorders 20,6 ","Allison, David B. ",1996
Risch's Lambda Values for Human Obesity.," International Journal of Obesity 20,11 ","Allison, David B., Myles S. Faith and J. S. Nathan. ",1996
Missing Data Techniques for Structural Equation Modeling .," Journal of Abnormal Psychology 112,4 ","Allison, Paul D. ",2003
What Can we Learn about the Effects of Food Stamps on Obesity in the Presence of Misreporting? .," American Journal of Agricultural Economics 98,4 ","Almada, Lorenzo Nicolas, Ian M. McCarthy and Rusty Tchernis. ",2016
Measuring Effects of SNAP on Obesity at the Intensive Margin., Economics and Human Biology 31 ,"Almada, Lorenzo Nicolas and Rusty Tchernis. ",2018
Relevance of Education to Occupation: A New Empirical Approach Based on College Courses.," Education Economics 28,4 ","Almasi, Pooya, Aboozar Hadavand, Sarah Thomas and Orkideh Gharehgozli. ",2020
The Effects of Early Work Experience on Young Women's Labor Force Attachment.," Social Forces 79,3 ","Alon, Sigal, Debra Donahoe and Marta Tienda. ",2001
"Labor Force Attachment and the Evolving Wage Gap Between White, Black, and Hispanic Young Women."," Work and Occupations 34,4 ","Alon, Sigal and Yitchak Haberfeld. ",2007
"Job Mobility and Early Career Wage Growth of White, African-American, and Hispanic Women."," Social Science Quarterly 86, Supplement s1 ","Alon, Sigal and Marta Tienda. ",2005
Comparing Contingency Tables Tools for Analyzing Data from Two Groups Cross-Classified by Two Characteristics.," Historical Methods 40,1 ","Altham, P. M. E. and Joseph P. Ferrie. ",2007
The Impact of Education on Health Knowledge.," Economics of Education Review 30,5 ","Altindag, Duha, Colin Cannonier and Naci Mocan. ",2011
Changes in the Characteristics of American Youth: Implications for Adult Outcomes.," Journal of Labor Economics 30,4 ","Altonji, Joseph G., Prashant Bharadwaj and Fabian Lange. ",2012
Identifying Sibling Influence on Teenage Substance Use .," Journal of Human Resources 52,1 ","Altonji, Joseph G., Sarah Cattan and Iain Ware. ",2017
"An Intergenerational Model of Wages, Hours, and Earnings."," Journal of Human Resources 35,2 ","Altonji, Joseph G. and Thomas Albert Dunn. ",2000
Relationships Among the Family Incomes and Labor Market Outcomes of Relatives., Research in Labor Economics 12 ,"Altonji, Joseph G. and Thomas Albert Dunn. ",1991
The Effects of Family Characteristics on the Return to Education.," Review of Economics and Statistics 78,4 ","Altonji, Joseph G. and Thomas Albert Dunn. ",1996
Using Siblings to Estimate The Effect of School Quality on Wages.," Review of Economics and Statistics 78,4 ","Altonji, Joseph G. and Thomas Albert Dunn. ",1996
Employer Learning and Statistical Discrimination.," Quarterly Journal of Economics 116,1 ","Altonji, Joseph G. and Charles R. Pierret. ",2001
How Youth Cognitive and Sociodemographic Factors Relate to the Development of Overweight and Obesity in the UK and the USA: A Prospective Cross-cohort Study of the National Child Development Study and National Longitudinal Study of Youth 1979.," Epidemiology 9,12 ","Altschul, Drew M., Christina Wraw, Catharine R. Gale and Ian J. Deary. ",2019
Delayed Disadvantage: Neighborhood Context and Child Development.," Social Forces 94,4 ","Alvarado, Steven Elias. ",2016
Neighborhood Disadvantage and Obesity across Childhood and Adolescence: Evidence from the NLSY Children and Young Adults Cohort (1986-2010)., Social Science Research 57 ,"Alvarado, Steven Elias. ",2016
"The Complexities of Race and Place: Childhood Neighborhood Disadvantage and Adult Incarceration for Whites, Blacks, and Latinos.", Socius: Sociological Research for a Dynamic World published online ,"Alvarado, Steven Elias. ",2020
The Impact of Childhood Neighborhood Disadvantage on Adult Joblessness and Income., Social Science Research 70 ,"Alvarado, Steven Elias. ",2018
"The Indelible Weight of Place: Childhood Neighborhood Disadvantage, Timing of Exposure, and Obesity across Adulthood.", Health and Place Volume 58 ,"Alvarado, Steven Elias. ",2019
Changes in Nonresident Father-Child Contact from 1976 to 2002.," Family Relations 58,1 ","Amato, Paul R., Catherine E. Meyers and Robert E. Emery. ",2009
The Magnitude and Timing of Grandparental Coresidence during Childhood in the United States.," Demographic Research 37, Article 52 ","Amorim, Mariana, Rachel Dunifon and Natasha Pilkauskas. ",2017
Multiple-Partner Fertility and Cohort Change in the Prevalence of Half-Siblings., Demography 56 ,"Amorim, Mariana and Laura Tach. ",2019
Moonlighting Over the Business Cycle.," Economic Inquiry 47,4 ","Amuedo-Dorantes, Catalina and Jean Kimmel. ",2009
The Motherhood Wage Gap for Women in the United States: The Importance of College and Fertility Delay.," Review of Economics of the Household 3,1 ","Amuedo-Dorantes, Catalina and Jean Kimmel. ",2005
Performance Pay and Fringe Benefits: Work Incentives or Compensating Wage Differentials?," International Journal of Manpower 24,6 ","Amuedo-Dorantes, Catalina and Traci Lynn Mach. ",2003
The Impact of Families on Juvenile Substance Use.," Journal of Bioeconomics 4,3 ","Amuedo-Dorantes, Catalina and Traci Lynn Mach. ",2002
Precautionary Saving by Young Immigrants and Young Natives.," Southern Economic Journal 69,1 ","Amuedo-Dorantes, Catalina and Susan Pozo. ",2002
A Step-by-Step Guide to Using Secondary Data for Psychological Research.," Social and Personality Psychology Compass 5,1 ","Andersen, Judith Pizarro, JoAnn Prause and Roxane Cohen Silver. ",2011
Juvenile Court Outcomes Following Youth's First Arrest: A National Test of the Racial and Ethnic Threat Hypothesis.," Crime and Delinquency 65,2 ","Andersen, Tia S. and Heather M. Ouellette. ",2019
When I Grow Up: Exploring the Link Between Future Expectations and Criminal Trajectories., Journal of Developmental and Life-Course Criminology 6 ,"Anderson, Annika Yvette, Douglas Brian Weiss and Sharon Suzanne Oselin. ",2020
Medical Marijuana Laws and Teen Marijuana Use.," American Law and Economics Review 17,2 ","Anderson, D. Mark, Benjamin Hansen and Daniel I. Rees. ",2015
"The Motherhood Wage Penalty Revisited: Experience, Heterogeneity, Work Effort, and Work-Schedule Flexibility."," Industrial and Labor Relations Review 56,2 ","Anderson, Deborah J., Melissa Binder and Kate Krause. ",2003
The Motherhood Wage Penalty: Which Mothers Pay It and Why? .," American Economic Review 92,2 ","Anderson, Deborah J., Melissa Binder and Kate Krause. ",2002
Racial Differences in Access to High-Paying Jobs and the Wage Gap Between Black and White Women.," Industrial and Labor Relations Review 49,2 ","Anderson, Deborah J. and David Shapiro. ",1996
Adolescent Mothers Drop Out.," American Sociological Review 58,5 ","Anderson, Douglas K. ",1993
Is Being in School Better? The Impact of School on Children's BMI When Starting Age is Endogenous.," Journal of Health Economics 3,5 ","Anderson, Patricia M., Kristin F. Butcher, Elizabeth Ulrich Cascio and Diane Whitmore Schanzenbach. ",2011
Economic Perspectives on Childhood Obesity.," Economic Perspectives 27,3 ","Anderson, Patricia M., Kristin F. Butcher and Phillip B. Levine. ",2003
Maternal Employment and Overweight Children.," Journal of Health Economics 22,3 ","Anderson, Patricia M., Kristin F. Butcher and Phillip B. Levine. ",2003
Health Coverage Instability for Mothers in Working Families.," Social Work 49,3 ","Anderson, Steven G. and Mary Keegan Eamon. ",2004
Stability of Health Care Coverage Among Low-Income Working Women.," Health and Social Work 30,1 ","Anderson, Steven G. and Mary Keegan Eamon. ",2005
How Well Does a Dynamic Mincer Equation Fit NLSY Data? Evidence Based on a Simple Wage-Bargaining Model.," Empirical Economics 44,3 ","Andini, Corrado. ",2013
Returns to Education and Wage Equations: a Dynamic Approach.," Applied Economics Letters 14,8 ","Andini, Corrado. ",2007
Adolescent Alcohol Use Before and After the High School Transition.," Alcoholism: Clinical and Experimental Research 39,6 ","Andreas, Jasmina Burdzovic and Kristina M. Jackson. ",2015
Explaining the Route to Owner-Occupation: A Transatlantic Comparison.," Journal of Housing Economics 15,3 ","Andrew, Mark, Donald R. Haurin and Abdul Munasib. ",2006
The Scarring Effects of Primary-Grade Retention? A Study of Cumulative Advantage in the Educational Career.," Social Forces 93,2 ","Andrew, Megan. ",2014
Effects of Health Problems on the Work Experiences of Middle-Aged Men., Industrial Gerontology 4 ,"Andrisani, Paul J. ",1977
"Internal-External Attitudes, Personal Initiative, and the Labor Market Experience of White and Black Men."," Journal of Human Resources 12,3 ","Andrisani, Paul J. ",1977
"Internal-External Attitudes, Sense of Efficacy, and Labor Market Experience: A Reply to Duncan and Morgan."," Journal of Human Resources 16,4 ","Andrisani, Paul J. ",1981
Job Satisfaction among Working Women.," Signs 3,3 ","Andrisani, Paul J. ",1978
Longitudinal Research and Labor Force Behavior.," Journal of Economics and Business 32,2 ","Andrisani, Paul J. ",1980
Secondary Labor Market's Effect on the Work-Related Attitudes of Youths.," Industrial Relations Research Association Series, Proceedings Thirty-Second Annual Meeting ","Andrisani, Paul J. ",1980
The Effects of Collective Bargaining as Measured for Men in Blue-Collar Jobs.," Monthly Labor Review 100,3 ","Andrisani, Paul J. and Andrew I. Kohen. ",1977
Multivariate Analysis of Individual Differences in Preferences for Intrinsic vs. Extrinsic Aspects of Work among National Samples of Young and Middle-Aged Women.," Journal of Vocational Behavior 11,1 ","Andrisani, Paul J. and Robert C. Miljus. ",1977
Internal-External Control as Contributor to and Outcome of Work Experience.," Journal of Applied Psychology 61,2 ","Andrisani, Paul J. and Gilbert Nestel. ",1976
"The Flynn Effect Within Subgroups in the U.S.: Gender, Race, Income, Education, and Urbanization Differences in the NLSY-Children Data."," Intelligence 38,4 ","Ang, Siew Ching, Joseph Lee Rodgers and Linda Wänström. ",2010
Income Risk and Portfolio Choice: An Empirical Study.," Journal of Finance 64,2 ","Angerer, Xiaohong W. and Pok-Sang Lam. ",2009
Statistical Signature of Pervasive Competition on Wage and Salary Incomes.," The Journal of Mathematical Sociology 26,4 ","Angle, John. ",2002
Work and Earnings: Cumulative Experience Method of Analysis of Longitudinal Surveys.," Sociological Methods and Research 8,2 ","Angle, John. ",1979
Educational Indicators and Occupational Achievement.," Social Science Research 9,1 ","Angle, John, Stevens Steiber and David A. Wissmann. ",1980
"Gender, College Major, and Earnings."," Sociology of Education 54,1 ","Angle, John and David A. Wissmann. ",1981
"Work Experience, Age, and Gender Discrimination."," Social Science Quarterly 64,1 ","Angle, John and David A. Wissmann. ",1983
Over-Identification Tests in Earnings Functions with Fixed Effects.," Journal of Business and Economic Statistics 9,3 ","Angrist, Joshua D. and Whitney K. Newey. ",1991
"Does Single Parenthood Increase the Probability of Teenage Promiscuity, Substance Use, and Crime?"," Journal of Population Economics 20,1 ","Antecol, Heather and Kelly Bedard. ",2007
"The Racial Wage Gap: The Importance of Labor Force Attachment Differences across Black, Mexican and White Men."," Journal of Human Resources 39,2 ","Antecol, Heather and Kelly Bedard. ",2004
"The Relative Earnings of Young Mexican, Black, and White Women."," Industrial and Labor Relations Review 56,1 ","Antecol, Heather and Kelly Bedard. ",2002
Costly Employment Contract Renegotiation and the Labor Mobility of Young Men.," American Economic Review 75,5 ","Antel, John J. ",1985
Human Capital Investment Specialization and the Wage Effects of Voluntary Labor Mobility.," Review of Economics and Statistics 68,3 ","Antel, John J. ",1986
Interrelated Quits: An Empirical Analysis of the Utility Maximizing Mobility Hypothesis.," Review of Economics and Statistics 70,1 ","Antel, John J. ",1988
The Wage Effects of Voluntary Labor Mobility With and Without Intervening Unemployment.," Industrial and Labor Relations Review 44,2 ","Antel, John J. ",1991
Experimentation and Job Choice.," Journal of Labor Economics 30,2 ","Antonovics, Kate and Limor Golan. ",2012
Sex Differences in Union Membership: The Impact of Occupation and Industry.," Proceedings, Business and Economic Statistics Section, American Statistical Association, Part_II ","Antos, Joseph R. and Mark D. Chandler. ",1977
The Effects of Jail and Prison Confinement on Cohabitation and Marriage.," Annals of the American Academy of Political and Social Science 665,1 ","Apel, Robert. ",2016
Unpacking the Relationship Between Adolescent Employment and Antisocial Behavior: A Matched Samples Comparison.," Criminology 45,1 ","Apel, Robert John, Shawn D. Bushway, Robert Brame, Amelia Haviland, Daniel S. Nagin and Raymond Paternoster. ",2007
Using State Child Labor Laws to Identify the Causal Effect of Youth Employment on Deviant Behavior and Academic Achievement.," Journal of Quantitative Criminology 24,4 ","Apel, Robert John, Shawn D. Bushway, Raymond Paternoster, Robert Brame and Gary Sweeten. ",2008
On the Relationship Between Family Structure and Antisocial Behavior: Parental Cohabitation and Blended Households.," Criminology 46,1 ","Apel, Robert John and Catherine Kaukinen. ",2008
A Job Isn't Just a Job: The Differential Impact of Formal Versus Informal Work on Adolescent Problem Behavior.," Crime and Delinquency 52,2 ","Apel, Robert John, Raymond Paternoster, Shawn D. Bushway and Robert Brame. ",2006
Level of Criminal Justice Contact and Early Adult Wage Inequality.," RSF: The Russell Sage Foundation Journal of the Social Sciences 5,1 Criminal Justice Contact and Inequality ","Apel, Robert and Kathleen Powell. ",2019
The Impact of Incarceration on Employment during the Transition to Adulthood.," Social Problems 57,3 ","Apel, Robert and Gary Sweeten. ",2010
Married White Women: Occupational Mobility and Earnings of Part-Time vs Full-Time Workers.," Humboldt Journal of Social Relations 10,2 ","Araji, Sharon K. ",1983
"Public Housing Revisited: Racial Differences, Housing Assistance, and Socioeconomic Attainment Among Low-Income Families."," Social Science Research 39,6 ","Aratani, Yumiko. ",2010
The Effects of Runaway-Homeless Episodes on High School Dropout.," Youth and Society 47,2 ","Aratani, Yumiko and Janice L. Cooper. ",2015
Beyond Signaling and Human Capital: Education and the Revelation of Ability.," American Economic Journal: Applied Economics 2,4 ","Arcidiacono, Peter, Patrick Bayer and Aurel Hizmo. ",2010
"Welfare Generosity, Pregnancies, and Abortions among Unmarried AFDC Recipients."," Journal of Population Economics 13,4 ","Argys, Laura M., Susan L. Averett and Daniel I. Rees. ",2000
Can Adequate Child Support Be Legislated? Responses to Guidelines and Enforcement.," Economic Inquiry 41,3 ","Argys, Laura M. and H. Elizabeth Peters. ",2003
The Impact of Child Support on Cognitive Outcomes of Young Children.," Demography 35,2 ","Argys, Laura M., H. Elizabeth Peters, Jeanne Brooks-Gunn and Judith R. Smith. ",1998
Can the Family Support Act Put Some Life Back Into Deadbeat Dads?," Journal of Human Resources 36,2 ","Argys, Laura M., H. Elizabeth Peters and Donald M. Waldman. ",2001
Birth Order and Risky Adolescent Behavior.," Economic Inquiry 44,2 ","Argys, Laura M., Daniel I. Rees, Susan L. Averett and Benjama Witoonchart. ",2006
Does the Economy Affect Teenage Substance Use? .," Health Economics 16,1 ","Arkes, Jeremy. ",2007
How Does Youth Cigarette Use Respond to Weak Economic Periods? Implications for the Current Economic Crisis.," Substance Use and Misuse 47,4 ","Arkes, Jeremy. ",2012
How the Economy Affects Teenage Weight.," Social Science and Medicine 68,11 ","Arkes, Jeremy. ",2009
Longitudinal Association Between Marital Disruption and Child BMI and Obesity.," Obesity 20,8 ","Arkes, Jeremy. ",2012
What Do Educational Credentials Signal and Why Do Employers Value Credentials?," Economics of Education Review 18,1 ","Arkes, Jeremy. ",1999
Understanding the Link Between the Economy and Teenage Sexual Behavior and Fertility Outcomes.," Journal of Population Economics 22,3 ","Arkes, Jeremy and Jacob Alex Klerman. ",2009
"For Better or For Worse, But How About a Recession?"," Contemporary Economic Policy 32,2 ","Arkes, Jeremy and Yu-Chu Shen. ",2014
'Best-Laid Plans': Barriers to Meeting Marital Timing Desires Over the Life Course.," Marriage and Family Review 56,7 ","Arocho, Rachel and Claire M. Kamp Dush. ",2020
Anticipating the 'Ball and Chain'? Reciprocal Associations Between Marital Expectations and Delinquency.," Journal of Marriage and Family 78,5 ","Arocho, Rachel and Claire M. Kamp Dush. ",2016
Distant Horizons: Marital Expectations May Be Dampened by Economic Circumstances.," Couple and Family Psychology: Research and Practice 7,1 ","Arocho, Rachel and Claire M. Kamp Dush. ",2018
"Like Mother, Like Child: Offspring Marital Timing Desires and Maternal Marriage Timing and Stability."," Journal of Family Psychology 31,3 ","Arocho, Rachel and Claire M. Kamp Dush. ",2017
Explaining The Decline In Women's Household Labor: Individual Change and Cohort Differences.," Journal of Marriage and Family 65,3 ","Artis, Julie E. and Eliza K. Pavalko. ",2003
Does the Impact of Union Experience on Job Satisfaction Differ by Gender?," Industrial and Labor Relations Review 65,2 ","Artz, Benjamin. ",2012
Fringe Benefits and Job Satisfaction.," International Journal of Manpower 31,6 ","Artz, Benjamin. ",2010
Relative Supervisor Education and Worker Well-being.," International Journal of Manpower 39,5 ","Artz, Benjamin. ",2018
"The Role of Firm Size and Performance Pay in Determining Employee Job Satisfaction Brief: Firm Size, Performance Pay, and Job Satisfaction."," Labour: Review of Labour Economics and Industrial Relations 22,2 ","Artz, Benjamin. ",2008
Boss Competence and Worker Well-Being.," ILR Review 70,2 ","Artz, Benjamin, Amanda H. Goodall and Andrew J. Oswald. ",2017
Does Performance Pay Increase Alcohol and Drug Use?, Journal of Population Economics published online ,"Artz, Benjamin, Colin P. Green and John S. Heywood. ",2020
Performance Pay and Workplace Injury: Panel Evidence.," Economica 82, s1 ","Artz, Benjamin and John S. Heywood. ",2015
Do Women Prefer Female Bosses?, Labour Economics 42 ,"Artz, Benjamin and Sarinda Taengnoi. ",2016
The Gender Gap in Raise Magnitudes of Hourly and Salary Workers.," Journal of Labor Research 40,1 ","Artz, Benjamin and Sarinda Taengnoi. ",2019
Overeducation and Wages Revisited: A Two‐cohort Comparison and Random Coefficients Approach., Southern Economic Journal published online ,"Artz, Benjamin and David M. Welsch. ",2020
High School Experience and the Risk of Adult Incarceration.," Criminology 37,3 ","Arum, Richard and Irenee Rose Beattie. ",1999
Rethinking Images of the Mobility Regime: Making a Case for Women's Mobility., Research in Social Stratification and Mobility 14 ,"Aschaffenburg, Karen E. ",1995
Racial/Ethnic Differences in Illicit Substance Use: A Temporal-Ordered Test of General Strain Theory.," Journal of Drug Issues 50,2 ","Ash-Houchen, William and Celia C. Lo. ",2020
Estimates of the Returns to Schooling from Sibling Data: Fathers Sons and Brothers.," The Review of Economics and Statistics 79,1 ","Ashenfelter, Orley and David J. Zimmerman. ",1997
Changes across Cohorts in Wage Returns to Schooling and Early Work Experiences., Journal of Labor Economics published online ,"Ashworth, Jared, V. Joseph Hotz, Arnaud Maurel and Tyler Ransom. ",2020
