Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sourcearticleID
"Child Poverty, the Great Recession, and the Social Safety Net in the United States","Bitler, Marianne; Hoynes, Hilary; Kuka, Elira",,,,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,SPR 2017,2017,36,2.0,,,,358.0,+,,10.1002/pam.21963,,,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,4,0,789605
INCOME INEQUALITY AND REDISTRIBUTION IN THE AFTERMATH OF THE 2007-2008 CRISIS: THE US CASE,"Almeida, Vanda",,,,NATIONAL TAX JOURNAL,MAR 2020,2020,73,1.0,,,,77.0,114,,10.17310/ntj.2020.1.03,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,789605
The Influence of Government Benefits and Taxes on Rates of Chronic and Transient Poverty in the United States,"Kimberlin, Sara",,,,SOCIAL SERVICE REVIEW,JUN 2016,2016,90,2.0,,,,185.0,234,,10.1086/687306,,,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,789605
"Welfare, work, and single mothers: The Great Recession and income packaging strategies","Waring, Melody K.; Meyer, Daniel R.",,,,CHILDREN AND YOUTH SERVICES REVIEW,JAN 2020,2020,108,,,,,,,104585.0,10.1016/j.childyouth.2019.104585,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789605
"Heterogeneous Consumers, Credit Rationing, and Tax-Benefit Policies","Heeringa, Willem L.; Swank, Job",,,,ECONOMIST-NETHERLANDS,JUN 2019,2019,167,2.0,,,,105.0,126,,10.1007/s10645-019-09337-x,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789605
The Great Recession and Racial Inequality: Evidence from Measures of Economic Well-Being,"Masterson, Thomas; Zacharias, Ajit; Rios-Avila, Fernando; Wolff, Edward N.",,,,JOURNAL OF ECONOMIC ISSUES,2019,2019,53,4.0,,,,1048.0,1069,,10.1080/00213624.2019.1664240,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789605
Accounting for homeownership in estimating real income growth,"Braga, Breno; Lerman, Robert I.",,,,ECONOMICS LETTERS,JAN 2019,2019,174,,,,,9.0,12,,10.1016/j.econlet.2018.10.012,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789605
The Impact of Uncertainty Shocks,"Bloom, Nicholas",,,,ECONOMETRICA,MAY 2009,2009,77.0,3.0,,,,623,685,,10.3982/ECTA6248,,,1273,97.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,16,33,58,83,88,126,161,174,228,275,19,238985
Financing investment,"Gomes, JF",,,,AMERICAN ECONOMIC REVIEW,DEC 2001,2001,91.0,5.0,,,,1263,1285,,10.1257/aer.91.5.1263,,,294,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,9,13,17,15,14,19,16,14,15,19,22,16,17,25,32,17,1,238985
On the nature of capital adjustment costs,"Cooper, RW; Haltiwanger, JC",,,,REVIEW OF ECONOMIC STUDIES,JUL 2006,2006,73.0,3.0,,,,611,633,,10.1111/j.1467-937X.2006.00389.x,,,291,18.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,10,16,12,13,18,27,26,35,25,33,29,26,2,238985
Growth Of Firms: A Survey of Theories and Empirical Evidence,"Coad, A",,,,GROWTH OF FIRMS: A SURVEY OF THEORIES AND EMPIRICAL EVIDENCE,2009,2009,,,,,,1,199,,,,,266,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,13,18,30,30,33,20,36,32,36,1,238985
Asset pricing implications of nonconvex adjustment costs and irreversibility of investment,"Cooper, I",,,,JOURNAL OF FINANCE,FEB 2006,2006,61.0,1.0,,,,139,170,,10.1111/j.1540-6261.2006.00832.x,,,122,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,8,11,11,11,7,8,10,10,13,9,11,2,238985
MICROECONOMETRIC MODELS OF INVESTMENT AND EMPLOYMENT,"Bond, Stephen; Van Reenen, John",,,"Heckman, JJ; Leamer, EE","HANDBOOK OF ECONOMETRICS, VOL 6A",2007,2007,2.0,,,,,4417,4498,,10.1016/S1573-4412(07)06065-5,,,92,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,7,14,5,6,5,9,11,6,13,2,1,238985
External finance constraints and the intertemporal pattern of intermittent investment,"Whited, Toni M.",,,,JOURNAL OF FINANCIAL ECONOMICS,SEP 2006,2006,81.0,3.0,,,,467,502,,10.1016/j.jfineco.2005.07.007,,,89,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,5,8,4,9,10,3,5,7,7,7,11,1,238985
Is lumpy investment relevant for the business cycle?,"Thomas, JK",,,,JOURNAL OF POLITICAL ECONOMY,JUN 2002,2002,110.0,3.0,,,,508,534,,10.1086/339746,,,89,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,6,4,7,8,2,4,7,5,3,12,7,4,2,4,1,238985
Idiosyncratic shocks and the role of nonconvexities in plant and aggregate investment dynamics,"Khan, Aubhik; Thomas, Julia K.",,,,ECONOMETRICA,MAR 2008,2008,76.0,2.0,,,,395,436,,10.1111/j.1468-0262.2008.00837.x,,,84,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,5,9,10,3,12,7,8,8,8,1,238985
"FIRMS, DESTINATIONS, AND AGGREGATE FLUCTUATIONS","di Giovanni, Julian; Levchenko, Andrei A.; Mejean, Isabelle",,,,ECONOMETRICA,JUL 2014,2014,82.0,4.0,,,,1303,1340,,10.3982/ECTA11041,,,76,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,11,15,17,22,3,238985
The role of board gender and foreign ownership in the CSR performance of Chinese listed firms,"McGuinness, Paul B.; Vieito, Joao Paulo; Wang, Mingzhu",,,,JOURNAL OF CORPORATE FINANCE,FEB 2017,2017,42.0,,,,,75.0,99.0,,10.1016/j.jcorpfin.2016.11.001,,,104,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,28,54,4,782744
Women on boards: The superheroes of tomorrow?,"Adams, Renee B.",,,,LEADERSHIP QUARTERLY,JUN 2016,2016,27.0,3.0,,,SI,371.0,386.0,,10.1016/j.leaqua.2015.11.001,,,75,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,28,29,2,782744
Research in finance: A review of influential publications and a research agenda,"Linnenluecke, Martina K.; Chen, Xiaoyan; Ling, Xin; Smith, Tom; Zhu, Yushu",,,,PACIFIC-BASIN FINANCE JOURNAL,JUN 2017,2017,43.0,,,,,188.0,199.0,,10.1016/j.pacfin.2017.04.005,,,39,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18,0,782744
"The cultural revolution"" in finance""","Zingales, Luigi",,,,JOURNAL OF FINANCIAL ECONOMICS,JUL 2015,2015,117.0,1.0,,,SI,1.0,4.0,,10.1016/j.jfineco.2015.05.006,,,27,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,8,6,1,782744
Women Helping Women? Evidence from Private Sector Data on Workplace Hierarchies,"Kunze, Astrid; Miller, Amalia R.",,,,REVIEW OF ECONOMICS AND STATISTICS,DEC 2017,2017,99.0,5.0,,,,769.0,775.0,,10.1162/REST_a_00668,,,24,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,1,782744
The impact of women leaders on environmental performance: Evidence on gender diversity in banks,"Birindelli, Giuliana; Iannuzzi, Antonia Patrizia; Savioli, Marco",,,,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,NOV 2019,2019,26.0,6.0,,,,1485.0,1499.0,,10.1002/csr.1762,,,17,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,782744
"Female board representation, corporate innovation and firm performance","Chen, Jie; Leung, Woon Sau; Evans, Kevin P.",,,,JOURNAL OF EMPIRICAL FINANCE,SEP 2018,2018,48.0,,,,,236.0,254.0,,10.1016/j.jempfin.2018.07.003,,,16,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,782744
CEO political ideology and mergers and acquisitions decisions,"Elnahas, Ahmed M.; Kim, Dongnyoung",,,,JOURNAL OF CORPORATE FINANCE,AUG 2017,2017,45.0,,,,,162.0,175.0,,10.1016/j.jcorpfin.2017.04.013,,,16,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,1,782744
