articleID,year,journal,title_original,Title,abstract
100239,1990,journal of the american statistical association,a one-sided studentized range test for testing against a simple ordered alternative,a one sided studentized range test for testing against a simple ordered alternative,"Abstract Consider the usual balanced one-way fixed effects analysis of variance (ANOVA) model X ij = μ i + e ij (1 ≤ j ≤ n; 1 ≤ i ≤ k), where the e ij are independent N(0, [sgrave]2) random variables and μ i is the mean of the ith treatment (1 ≤ i ≤ k). The μ i and [sgrave] 2 are unknown parameters. Let X i be the sample mean of the ith treatment based on n observations (1 ≤ i ≤ k), and let S 2 be an unbiased estimate of [sgrave]2, which is distributed independently of the X i as a σ2 χ 2 v /v random variable. Usually, the ANOVA mean squared error with v = k(n − 1) df is used as the estimate S 2. A problem that has received considerable attention is that of testing the null hypothesis H 0 : μ 1, = … = μ k against the simple ordered alternative hypothesis H A : μ 1 ≤ … ≤ μ k with at least one strict inequality [see, e.g., Barlow, Bartholomew, Bremner, and Brunk (1972) and Robertson, Wright, and Dykstra (1988)]. Various test procedures have been proposed for this problem, such as the likelihood ratio test (... Collapse"
100240,1990,journal of the american statistical association,assessing the effects of multiple rows on the condition number of a matrix,assessing the effects of multiple rows on the condition number of a matrix,"Abstract Given a matrix X of n observations on k variables, it is known that the singular values of X can change substantially when few rows are omitted from X. Hadi (1988) shows that no general closed-form equation can relate the singular values of X to the singular values of X with one row deleted and gives closed-form approximations to the relationship between the singular values of the two matrices. In this article, we extend Hadi's results to the more general case of multiple-row deletion, carry out systematic numerical investigations to determine the goodness and the speed of the approximation, and give an example using real-life data to illustrate the usefulness of the results in diagnosing jointly influential observations in linear regression. The methods presented in this article deal with the computational as well as the data analytic aspects of problems arising in multivariate data analysis. These methods are applicable in situations where the eigenstructure of a matrix is of interest. Collapse"
100241,1990,journal of the american statistical association,confidence intervals for probabilities and tolerance regions based on a generalization of the mann-whitney statistic,confidence intervals for probabilities and tolerance regions based on a generalization of the mann whitney statistic,"Abstract Inference procedures are proposed for any specified function of two random variables f(X, Y), assuming that independent random samples from the X and Y populations are available. A generalization of the Mann-Whitney statistic is used to obtain point and interval estimates for the probability that f(X, Y) falls in a given interval. One proposed confidence interval is a modification and improvement to the approach of Halperin, Gilbert, and Lachin (1987) for estimating Pr(X < Y). A thorough review is made of the literature on nonparametric confidence bounds for Pr(X < Y), with emphasis on methods based on the central limit theorem. In addition to the improvement of Halperin et al.'s method, bounds analogous to the Clopper-Pearson confidence interval for a binomial parameter are proposed. Simulation results show the performance of the alternative procedures. Approximate nonparametric tolerance limits for f(X, Y) are also proposed. The article closes by constructing a two-sided tolerance interval for ... Collapse"
100244,1990,journal of the american statistical association,estimation for partially nonstationary multivariate autoregressive models,estimation for partially nonstationary multivariate autoregressive models,"Abstract For an m-variate (“partially”) nonstationary vector autoregressive process {Y t }, we consider the autoregressive model Φ(L)Y t = e t , where Φ(L) = I − Φ1 L − … − Φ p L p and det{Φ(z)} = 0 has d < m roots equal to unity and all other roots are outside the unit circle. It is also assumed that rank {Φ(1)} = r, r = m − d, so that each component of the first differences W t = Y t − Y t − 1 is stationary. The relation of the model to error correction models and co-integration (Engle and Granger 1987) is discussed. The process {Y t } has the error correction representation Φ*(L)(1 − L)Y t = −P 2(I r − Λ r )Q 2 1 Y t-1 + e t , where Q(I m − Φ(1))P = J = diag(I d , Λ r ) is in Jordan canonical form and Q' = [Q 1, Q 2]. It follows that the transformation Z t = QY t = [Zt 1t , Z2 2t ] t is such that the d × 1 process Z 1t is nonstationary with Z 1t − Z 1t-1 stationary while Z 2t is stationary. Asymptotic distribution theory for least squares parameter estimators of the model is first considered. A Gaussia... Collapse"
100247,1990,journal of the american statistical association,state-dependent utilities,state dependent utilities,"Several axiom systems for preference among acts lead to the existence of a unique probability and a state-independent utility such that acts are ranked according to their expected utilities. These axioms have been used as a foundation for Bayesian decision theory and the subjective probability calculus. In this paper, we note that the uniqueness of the probability is relative to the choice of what counts as a constant outcome. Although it is sometimes clear what should be considered constant, there are many cases in which there are several possible choices. Each choice can lead to a different “unique” probability and utility. By focusing attention on state-dependent utilities, we determine conditions under which a truly unique probability and utility can be determined from an agent’s expressed preferences among acts. Suppose that an agent’s preference can be represented in terms of a probability P and a utility U. That is, the agent prefers one act to another if and only if the expected utility of the one act is higher than that of the other. There are many other equivalent representations in terms of probabilities Q, which are mutually absolutely continuous with P, and state-dependent utilities V, which differ from U by possibly different positive affine transformations in each state of nature. An example is described in which two different but equivalent state-independent utility representations exist for the same preference structure. What differs between the two representations is which acts count as constants. The acts involve receiving different amounts of one or the other of two currencies and the states are different exchange rates between the currencies. It is easy to see how it would not be possible for constant amounts of both currencies to simultaneously have constant values across the different states. Savage (Foundations of statistics. John Wiley, New York, 1954, sec. 5.5) discovered a situation in which two seemingly equivalent preference structures are represented by different pairs of probability and utility. Savage attributed the phenomenon to the construction of a “small world”. We show that the small world problem is just another example of two different, but equivalent, representations treating different acts as constants. Finally, we prove a theorem (similar to one of Karni, Decision making under uncertainty. Harvard University Press, Cambridge, 1985) that shows how to elicit a unique state-dependent utility and does not assume that there are prizes with constant value. To do this, we define a new hypothetical kind of act in which both the prize to be awarded and the state of nature are determined by an auxiliary experiment. Collapse"
100254,1990,journal of the american statistical association,regression estimates in federal welfare quality control programs:  rejoinder,regression estimates in federal welfare quality control programs rejoinder,"Abstract States that administer federal family welfare programs review samples of the beneficiaries to guide corrective actions. Federal agencies review subsamples of the state samples to compute overpayment error rates using a regression estimator. These federal estimates make state-to-state comparisons of quality possible and are also used for fiscal sanctions. Such applications of the regression estimator have been widely challenged. We show that the regression estimates and estimates of their variances are closely unbiased, and we examine their statistical characteristics. We also comment on the recent reports of the National Research Council Panel on Quality Control of Family Assistance Programs. Collapse"
100256,1990,journal of the american statistical association,food stamp payment error rates:  can state-specific performance standards be developed?,food stamp payment error rates   can state specific performance standards be developed ,"Abstract Since 1981 the Food and Nutrition Service, U.S. Department of Agriculture has imposed financial penalties on 49 states with excessive overpayment errors in the Food Stamp program, many in more than one year, for a total of $423.5 million. Almost all have appealed the sanctions, and several have taken their appeal to the courts, questioning the fairness of the financial penalties. Although the quality control (QC) system holds all states to the same standard, payment error rates (defined as the proportion of total benefits paid erroneously) may reflect not only the administrative performance of an agency, but also the difficulty of the case load served and the characteristics of the social environment in which the program operates. To investigate the feasibility of adjusting states' overpayment error rates for differences on such external factors, we developed regression models for five components of the overpayment error rate. When fitted to the case-level data from the fiscal year (FY) 1984 QC s... Collapse"
100280,1990,journal of banking and finance,performance of currency portfolios chosen by a bayesian technique: 1967-1985,performance of currency portfolios chosen by a bayesian technique  1967 1985,"Abstract This paper is about normative currency portfolio rules. It assumes logarithmic investors who maximize the expected utility from lognormal currency returns with and without short sales restrictions. A number of implementable portfolio diversification policies are tried out on a large body of data covering nine major currencies and eighteen years of weekly observations. In doing so, we present ways of dealing with the ‘estimation risk’ in an international context. The necessary mean and covariance inputs are provided by a Bayesian prior on the means and by sample means and covariance matrices, which are estimated from weekly sample data. While some policies do produce abnormal returns (over and beyond proper reward for risk), none does so in a statistically significant way. This means that the evidence does not allow one to conclude that market participants are improperly diversified. As a byproduct of this investigation, techniques are found which would allow portfolio managers to earn a proper reward for risk by following a purely mechanical procedure; such techniques may be valuable in a multi-country world where the aggregate portfolio of currencies and securities is unknown and is not supposed to be efficient. Collapse"
100301,1990,journal of business and economic statistics,embodied technological change and tests of the internal-adjustment-cost hypothesis,embodied technological change and tests of the internal adjustment cost hypothesis,"Several recent studies analyzing labor-productivity changes have focused on the existence and measurement of the internal costs of adjustment attendant on investment in new-capital goods. These internal-adjustment costs are those borne directly by firms purchasing new-capital goods and include such costs as those associated with setting up the new capital, learning the operation of the new equipment, and assimilating the new factors into the production process. Such costs need not be explicit, as in the cost of training programs, but can take the form of a reduction in ordinary output, such as resources diverted from the production of regular output to accommodate the adjustment costs of new investment. (Internal-adjustment costs should be distinguished from the well-known external costs of adjustment, such as the increasing marginal resource costs of delivering the desired level of capital goods to industries.) Failure to consider these costs can have far-reaching effects in several areas. One such area is the analysis of the impact of new investment on output and productivity. If these internal-adjustment costs are significant and important, the Collapse"
100336,1990,journal of development economics,"determinants of the tariff structure of the israeli industrial sector, 1965-1977",determinants of the tariff structure of the israeli industrial sector  1965 1977,"Abstract This paper examines the determinants of the tariff structure of the Israeli manufacturing sector in the mid-1960s and late 1970s, a period marked by considerable trade liberalization. The empirical results point to the ‘made-to-measure’ nature of the tariff structure, i.e., relatively inefficient industries were granted higher rates of protection. The relative inefficiency measure which was derived from the CES production function kept a high explanatory power, along a wide range of substitution elasticities. The empirical results also show that in the early 1960s, tariffs favoured low-wage, labor-intensive industries; while in the late 1970s, industries with high levels of concentration lobbied successfully for higher levels of protection. Collapse"
100337,1990,journal of development economics,a sectoral accounting approach to national savings applied to korea,a sectoral accounting approach to national savings applied to korea,"Abstract This paper presents a sectoral accounting approach to the determination of the national savings ratio. Starting with the process of sectoral savings determination and showing the sectoral interactions, this approach offers an acceptable empirical framework for aggregate savings studies. The model, estimated with the Korean data, is used to run simulations to evaluate its predictive capacity, to decompose past savings performance by major factors and to assess the savings effect of policy changes and other exogenous shocks. The results indicate that income variables have been the most important determinants, although interest rate and tax policies have also played some role. Collapse"
100338,1990,journal of development economics,on measuring the relative size of the unregulated to the regulated money market over time,on measuring the relative size of the unregulated to the regulated money market over time,"Abstract This paper develops a method, based on the recent theories of index number, monetary aggregation and money supply, by which changes can be measured in the size of the Unregulated Money Market (UMM) relative to that of the regulated money market in developing countries. While the method requires some knowledge of the initial UMM assets and the growth rate of the monetary multiplier, it is virtually parameter-free in measuring the effects of asset substitution on the relative size of the UMM. For illustrative purpose it is applied to Korea, which appears to provide satisfactory results, indicating the usefulness of the method. Collapse"
