title,keywords,authors,journal,year
An Intertemporal Empiral Analysis of the Renter's Decision to Purchase a Home,"Keywords: Expenditures, Savings & Consumption, Housing","Ihlanfeldt, Keith Ray.", Real Estate Economics, 1980
Pecuniary Implications of On the Job Search and Quit Activity,Keywords: Labor Market & Outcomes,"Black, Matthew.", The Review of Economics and Statistics, 1980
The Quality of Education and Cohort Variation in Black-White Earnings Differentials: Comment,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes, Racial-Ethnic Differences","Akin, John S. and Garfinkel, Irwin.", American Economic Review, 1980
The Quality of Education and Cohort Variation in Black-White Earnings Differentials: Reply,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes, Racial-Ethnic Differences","Link, Charles, Ratledge, Edward, and Lewis, Kenneth.", American Economic Review, 1980
Racial Equity or Racial Equality,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Daymont, Thomas N.", Demography, 1980
Sex Differences in Measurement Error in Status Attainment Models,"Keywords: Aging, Gender Differences, Income, Intergenerational Influences & Transfers, Survey Methodology","Corcoran, Mary.", Sociological Methods & Research, 1980
Relative Influence of Birth Cohort and Social-Event Cohort in Adult Development: An Exploratory Study,"Keywords: Aging, Labor Market & Outcomes, Wellbeing","Dixon, R. A.", Psychological Reports, 1980
Characteristics of Migrants Within the Framework of Current Migration Direction in the United States: Some Evidence from Micro-Data Analysis,Keywords: Neighborhoods & Geographic Mobility,"Kim, Joochul.", Policy Sciences, 1980
Cyclical Sensitivity of Union/Nonunion Relative Wage Effects,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Moore, William and Raisian, John.", Journal of Labor Research, 1980
Sex Differences in Worker Quitting,"Keywords: Gender Differences, Labor Market & Outcomes","Viscusi, W. Kip.", The Review of Economics and Statistics, 1980
The Social Consequences of Single Parenthood: a Longitudinal Perspective,Keywords: Family Formation & Composition,"Smith, Michael J.", Family Relations, 1980
Tracking Family Experience in the Seventies,Keywords: Survey Methodology,"Rainwater, Lee and Rein, Martin.", Contemporary Sociology, 1980
Unemployment and Poverty,"Keywords: Labor Market & Outcomes, Poverty","Corcoran, Mary and Hill, Martha S.", Social Service Review, 1980
Urban Land Use and the Growth in Two-Earner Households,"Keywords: Housing, Income, Neighborhoods & Geographic Mobility","Madden, Janice.", American Economic Review, 1980
Vintage Effects in the Earnings of White American Males,Keywords: Labor Market & Outcomes,"Johnson, William R.", The Review of Economics and Statistics, 1980
A Life Cycle Model of Female Labor Supply,"Keywords: Gender Differences, Labor Market & Outcomes","Heckman, James J. and MaCurdy, Thomas.", The Review of Economic Studies, 1980
Measuring Unemployment: Family Considerations,"Keywords: Income, Labor Market & Outcomes","Moen, Phyllis.", Human Relations, 1980
Most Workers Find Jobs Through Word of Mouth,Keywords: Labor Market & Outcomes,"Corcoran, Mary, Datcher, Linda, and Duncan, Greg J.", Monthly Labor Review, 1980
"Developing Family Indicators: Financial Hardship, a Case in Point",Keywords: Income,"Moen, Phyllis.", Journal of Family Issues, 1980
Effects of Children's Health on Maternal Hours of Work: a Preliminary Analysis,"Keywords: Children, Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes","Salkever, David.", Southern Economic Journal, 1980
The Effects of Fertility on Husband's Economic Activity,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Labor Market & Outcomes","Cramer, James.", Research in Population Economics, 1980
The Effects of Inflation and Taxes on the Costs of Home Ownership,"Keywords: Expenditures, Savings & Consumption, Housing, Taxes","Duncan, Greg J. and Morgan, James N.", The Journal of Consumer Affairs, 1980
"The Exit-Voice Tradeoff in the Labor Market: Unionism, Job Tenure, Quits, and Separations","Keywords: Income, Labor Market & Outcomes","Freeman, Richard.", The Quarterly Journal of Economics, 1980
Do Union Members Receive Compensating Wage Differentials?,Keywords: Labor Market & Outcomes,"Duncan, Greg J. and Stafford, Frank P.", American Economic Review, 1980
Fertility and Female Employment: Problems of Causal Direction,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Cramer, James.", American Sociological Review, 1980
Housing Tenure Status and Housing Satisfaction,Keywords: Housing,"Lane, Sylvia and Kinsey, J.", The Journal of Consumer Affairs, 1980
Dual Labor Market Theory,Keywords: Labor Market & Outcomes,"Harju, Cynthia.", Michigan Journal of Economics, 1980
Economic Conditions in Single-Parent Families: a Longitudinal Perspective,"Keywords: Family Formation & Composition, Income","Smith, Michael J.", Social Work Research and Abstracts, 1980
Class and Occupation,Keywords: Labor Market & Outcomes,"Wright, Erik Olin.", Theory and Society, 1980
"How Income Transfer Programs Affect Work, Savings, and the Income Distribution: A Critical Review","Keywords: Expenditures, Savings & Consumption, Government Transfers, Income, Labor Market & Outcomes","Danziger, Sheldon, Haveman, Robert, and Plotnick, Robert.", Journal of Economic Literature, 1981
The Rewards of Migration for Income Change and Income Attainment: 1968-1973,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Harris, Richard J.", Social Science Quarterly, 1981
Unemployment over the Life Cycle: Racial Differences and the Effect of Changing Economic Conditions,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","DiPrete, Thomas.", American Journal of Sociology, 1981
The Dynamics of Poverty,"Keywords: Labor Market & Outcomes, Poverty, Racial-Ethnic Differences","Evanson, Elizabeth.", Focus, 1981
The Economics of the Diaspora: Discrimination and Occupational Structure,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Brenner, Reuven and Kiefer, Nicholas M.", Economic Development and Cultural Change, 1981
Wives' Permanent Employment and Husbands' Hours of Work,"Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Mooney, Marta.", Industrial Relations: A Journal of Economy and Society, 1981
The Social Security Payroll Tax Effect on Wage Growth,"Keywords: Labor Market & Outcomes, Taxes","Neubig, Thomas.", Proceedings of the Annual Conference on Taxation Held under the Auspices of the National Tax Association-Tax Institute of American, 1981
Consequences and Detection of Misspecified Nonlinear Regression Models,Keywords: Statistical & Econometric Methods,"White, Halbert.", Journal of the American Statistical Association, 1981
"Internal-External Attitudes, Sense of Efficacy, and Labor Market Experience: A Reply To Duncan and Morgan","Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Andrisani, Paul.", The Journal of Human Resources, 1981
Are Public Sector Workers More Risk Averse Than Private Sector Workers?,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Bellante, Don and Link, Albert N.", ILR Review, 1981
"The Impact of Food Stamps and Cash Welfare on Food Expenditures, 1971-1975","Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Government Transfers, Poverty","Knaub, Norman L.", Policy Analysis, 1981
The Incidence and Wage Effects of Overeducation,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Duncan, Greg J. and Hoffman, Saul.", Economics of Education Review, 1981
The Influence of Socioeconomic Background on the Earnings of Young Men,"Keywords: Aging, Family Formation & Composition, Intergenerational Influences & Transfers, Labor Market & Outcomes","Kiker, B. F. and Condon, C. M.", The Journal of Human Resources, 1981
Labor Supply Adjustment Over the Business Cycle,Keywords: Labor Market & Outcomes,"Larson, Donald A.", Industrial and Labor Relations Review, 1981
Theory and Estimation in the Economics of Housing Demand,"Keywords: Housing, Statistical & Econometric Methods","Mayo, Stephen K.", Journal of Urban Economics, 1981
"Smoking, Disabilities and Health: Their Effect on Labor Market Experience","Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes","Pupp, Roger L.", Journal of Behavioral Economics, 1981
Fully Recursive Probability Models and Multivariate Log-Linear Probability Models for the Analysis of Qualitative Data,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Lee, Lung-Fei.", Journal of Econometrics, 1981
Analyzing Labor Supply without Considering Income from Assets,"Keywords: Income, Labor Market & Outcomes","Faurot, David J. and Sellon Jr., Gordon H.", The Review of Economics and Statistics, 1981
A Measure of Horizontal Inequity,Keywords: Income,"Plotnick, R.", The Review of Economics and Statistics, 1981
Hours Worked by Husbands and Wives,"Keywords: Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences","Marsh, Lawrence C.", Journal of Family Issues, 1981
Work and Family Roles: Egalitarian Marriage in Black and White Families,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences, Time Use & Home Production","Beckett, Joyce O. and Smith, Audrey D.", Social Service Review, 1981
"The Family as the Locus of Gender, Class, and Political Struggle: The Example of Housework","Keywords: Family Formation & Composition, Gender Differences, Time Use & Home Production","Hartmann, Heidi I.", Signs: Journal of Women in Culture and Society, 1981
An Analysis of Structural Changes in the Food Stamp Program,"Keywords: Food & Nutrition, Government Transfers, Statistical & Econometric Methods","Higa, Teruyuki.", The American Economist, 1981
Taxation and the Wife's Use of Time,"Keywords: Gender Differences, Labor Market & Outcomes, Taxes, Time Use & Home Production","Hunt, Janet, DeLorme Jr., Charles, and Hill, R. Carter.", Industrial and Labor Relations Review, 1981
An Empirical Investigation of Alternative Approaches to Estimating the Equilibrium Demand for Housing,"Keywords: Housing, Statistical & Econometric Methods","Ihlanfeldt, Keith Ray.", Journal of Urban Economics, 1981
Do Union Members Receive Compensating Wage Differentials? Note,Keywords: Labor Market & Outcomes,"Leigh, Duane.", American Economic Review, 1981
"Hazardous Occupations, Illness and Schooling","Keywords: Aging, Education Attainment & Achievement, Health, Disability & Mortality, Labor Market & Outcomes","Leigh, J. Paul.", Economics of Education Review, 1981
Effects of College Prestige on Men's Occupational Status and Income,"Keywords: Education Attainment & Achievement, Income, Labor Market & Outcomes","Trusheim, Dale and Crouse, James.", Research in Higher Education, 1981
The Effects of Union Membership on Absence from Work Due to Illness,"Keywords: Aging, Education Attainment & Achievement, Health, Disability & Mortality, Labor Market & Outcomes","Leigh, J. Paul.", Journal of Labor Research, 1981
Effects of Wife's Income on Family Income Inequality,"Keywords: Family Formation & Composition, Gender Differences, Income","Harris, Richard J. and Hedderson, John J.", Sociological Methods & Research, 1981
An Empirical Model of Labor Supply in a Life Cycle Setting,"Keywords: Expenditures, Savings & Consumption, Labor Market & Outcomes","MaCurdy, Thomas.", Journal of Political Economy, 1981
An Empirical Test of the Theory of On-The-Job Search,Keywords: Labor Market & Outcomes,"Black, Matthew.", The Journal of Human Resources, 1981
"Employment Instability, Earnings and Market Structure",Keywords: Labor Market & Outcomes,"Feinberg, Robert M.", Applied Economics, 1981
Entry and Exit Transitions in a Government Transfer Program: the Case of Aid to Families with Dependent Children,"Keywords: Children, Government Transfers, Poverty","Hutchens, Robert M.", The Journal of Human Resources, 1981
Family Labour Force Participation: Multinomial Logit Estimates,"Keywords: Aging, Income, Labor Market & Outcomes, Wealth, Assets & Pensions","Theeuwes, Jules.", Applied Economics, 1981
Compensating Wages for Occupational Injuries and Diseases,"Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes","Leigh, J. Paul.", Social Science Quarterly, 1981
"Conditional Distributions of Earnings, Wages and Hours for Blacks and Whites","Keywords: Income, Labor Market & Outcomes, Racial-Ethnic Differences","White, Halbert and Olson, Lawrence.", Journal of Econometrics, 1981
The Effect of Fertility on the Time Use of Working Wives,"Keywords: Family Formation & Composition, Gender Differences, Time Use & Home Production","Hunt, Janet and Kiker, B. F.", Journal of Consumer Research, 1981
Sense of Efficacy and Subsequent Change in Earnings--a Replication,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Duncan, Greg J. and Morgan, James N.", The Journal of Human Resources, 1981
Taxation and the Consumption of Household Time,"Keywords: Children, Taxes, Time Use & Home Production","Leuthold, Jane H.", Journal of Consumer Research, 1981
Taxation and the Value of Nonmarket Time,"Keywords: Income, Taxes","Leuthold, Jane H.", Social Science Research, 1981
Transmission of Economic Inequality Over Three Generations,"Keywords: Aging, Education Attainment & Achievement, Intergenerational Influences & Transfers, Labor Market & Outcomes","Kiker, F. B. and Condon, C. M.", The Social Science Journal, 1981
Why Women Work Closer to Home,"Keywords: Gender Differences, Labor Market & Outcomes","Madden, Janice.", Urban Studies, 1981
Measuring the Benefits from Reduced Morbidity,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Health, Disability & Mortality","Cropper, M. L.", American Economic Review, 1981
A Model of Unemployment Duration with Variable Search Intensity,Keywords: Labor Market & Outcomes,"Yoon, Bong Joon.", The Review of Economics and Statistics, 1981
Occupational Choice Under Earnings Uncertainty,Keywords: Labor Market & Outcomes,"Leigh, J. Paul.", Nebraska Journal of Economics and Business, 1981
On-the-Job-Training: Differences by Race and Sex,"Keywords: Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences","Hoffman, Saul.", Monthly Labor Review, 1981
Panel Data and Unobservable Individual Effects,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Hausman, Jerry A. and Taylor, W. E.", Econometrica, 1981
Racial Differences in Compensating Wages for Job Risks,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Leigh, J. Paul.", Industrial Relations: A Journal of Economy and Society, 1981
"Repeat Migration, Information Costs, and Location-Specific Capital",Keywords: Neighborhoods & Geographic Mobility,"DaVanzo, Julie.", Population and Environment, 1981
Return and Other Sequences of Migration in the United States,Keywords: Neighborhoods & Geographic Mobility,"DaVanzo, Julie and Morrison, Peter.", Demography, 1981
Earnings-Risk as a Compensating Differential,Keywords: Labor Market & Outcomes,"Feinberg, Robert M.", Southern Economic Journal, 1981
Do Union Members Receive Compensating Wage Differentials? Reply,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Duncan, Greg J. and Stafford, Frank P.", American Economic Review, 1982
Income Elasticities of Demand for Rental Housing: Additional Evidence,"Keywords: Housing, Income, Statistical & Econometric Methods","Ihlanfeldt, Keith R.", Urban Studies, 1982
"Family Life Cycle, Economic Well-Being and Marital Disruption in Black Families","Keywords: Family Formation & Composition, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Hampton, Robert.", California Sociologist, 1982
Microdata Estimation of School Expenditure Levels: an Alternative to the Median Voter Approach,"Keywords: Education Attainment & Achievement, Expenditures, Savings & Consumption","Akin, John S. and Lea, Michael J.", Public Choice, 1982
A Microeconomic Analysis of Labor Supply Incorporating the Price Level as an Independent Variable,Keywords: Labor Market & Outcomes,"Hadley, Lawrence.", Nebraska Journal of Economics and Business, 1982
Migration and Regional Wages,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Falaris, Evangelos.", Southern Economic Journal, 1982
On the Stability of Age-Earnings Profiles,"Keywords: International Studies, Labor Market & Outcomes","Klevmarken, N. Anders.", The Scandinavian Journal of Economics, 1982
The Sensitivity of Consumption to Transitory Income: Estimates from Panel Data on Households,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Income","Hall, Robert E. and Mishkin, Frederic S.", Econometrica, 1982
Serial Correlation and the Fixed Effects Model,Keywords: Labor Market & Outcomes,"Bhargava, Alok, Franzini, L., and Narendranathan, W.", The Review of Economic Studies, 1982
Taxation and On-the-Job Training Decisions,"Keywords: Labor Market & Outcomes, Taxes","Rosen, S. R.", The Review of Economics and Statistics, 1982
The Use of Time Series Processes to Model the Error Structure of Earnings in a Longitudinal Data Analysis,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","MaCurdy, Thomas.", Journal of Econometrics, 1982
Wealth Accumulation of Black and White Men: the Case of Housing Equity,"Keywords: Aging, Housing, Racial-Ethnic Differences, Wealth, Assets & Pensions","Parcel, Toby L.", Social Problems, 1982
Who Gets Ahead??,"Keywords: Family Formation & Composition, Income","Duncan, Greg J.", And Who Gets Left Behind? American Demographics, 1982
"Residential Displacement: Extent, Nature, and Effects","Keywords: Housing, Income, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Newman, Sandra J. and Owen, Michael S.", Journal of Social Issues, 1982
Asset Holdings and the Life Cycle,"Keywords: Aging, Statistical & Econometric Methods, Wealth, Assets & Pensions","King, MA and Dicks-Mireaux, L.", The Economic Journal, 1982
Identifying Restrictions in Limited Information Analysis of the Schooling Coefficient in a Wage Equation,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Kiefer, Nicholas M.", Journal of Econometrics, 1982
Instrumental Variables Regression with Independent Observations,Keywords: Statistical & Econometric Methods,"White, Halbert.", Econometrica, 1982
The Intertemporal Substitution Model of Labour Market Fluctuations: an Empirical Analysis,Keywords: Labor Market & Outcomes,"Altonji, Joseph G.", The Review of Economic Studies, 1982
Public-sector union wage effects: a time series analysis,Keywords: Labor Market & Outcomes,"Moore, William and Raisian, John.", Monthly Labor Review, 1982
Racial Differences in the Returns to Schooling and Experience Among Prime-Age Males: 1967-1975,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes, Racial-Ethnic Differences","Jud, Donald G. and Walker, James L.", The Journal of Human Resources, 1982
Racial Differentials in Home Purchase: the Evidence from Newly-Formed Households,"Keywords: Housing, Racial-Ethnic Differences","Silberman, Jonathan, Yochum, Gilbert, and Ihlanfeldt, Keith.", Economic Inquiry, 1982
Data Availability versus Data Needs for Analyzing the Determinants and Consequences of Internal Migration: an Evaluation of U.S. Survey Data,"Keywords: Neighborhoods & Geographic Mobility, Survey Methodology","Bilsborrow, R. and Akin, John S.", Review of Public Data Use, 1982
Depreciation of Housing: an Empirical Consideration of Filtering Hypothesis,Keywords: Housing,"Margolis, Stephen.", The Review of Economics and Statistics, 1982
Job Queues and the Union Status of Workers,Keywords: Labor Market & Outcomes,"Abowd, John M. and Farber, Henry.", Industrial and Labor Relations Review, 1982
Welfare Dependency: Fact or Myth?,Keywords: Government Transfers,"Coe, Richard D.",Welfare Dependency: Fact or Myth? Challenge, 1982
Discrimination: Fact or Fiction? An Examination Using an Alternative Approach,"Keywords: Gender Differences, Racial-Ethnic Differences","Kamalich, Richard F. and Polachek, Solomon W.", Southern Economic Journal, 1982
The Economic Consequences of Experiencing Parental Marital Disruptions,"Keywords: Children, Family Formation & Composition, Income","Greenberg, David and Wolf, Douglas.", Children and Youth Services Review, 1982
"Education, Occupational Status, and Illness","Keywords: Aging, Education Attainment & Achievement, Health, Disability & Mortality, Income, Labor Market & Outcomes","Leigh, J. Paul.", Work and Occupations, 1982
Effects of Community and Family Background on Achievement,"Keywords: Aging, Intergenerational Influences & Transfers, Labor Market & Outcomes, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Datcher, Linda.", The Review of Economics and Statistics, 1982
The Measurement of Change in the Rate of Return to Education: 1967–75,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Cline, Harold Michael.", Economics of Education Review, 1982
Affirmative Action and Opportunity: a Study of Female Quit Rates,"Keywords: Gender Differences, Labor Market & Outcomes","Osterman, P.", The Review of Economics and Statistics, 1982
Corrigendum on A Life Cycle Model of Female Labor Supply,"Keywords: Gender Differences, Labor Market & Outcomes","Heckman, James J. and MaCurdy, Thomas.", The Review of Economic Studies, 1982
Life Contingencies and the Life Course,"Keywords: Aging, Family Formation & Composition","Sutton, Gordon F. and Chevan, Albert."," American Statistical Association, 1982 Proceedings of the Social Statistics Section", 1982
Longitudinal Lessons from the Panel Study of Income Dynamics,"Keywords: Family Formation & Composition, Government Transfers","Duncan, Greg J. and Morgan, James N.", Review of Public Data Use, 1982
Local Tax and Expenditure Capitalization: Integrating Evidence from the Market and Political Processes,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods, Taxes","Lea, Michael J.", Public Finance Quarterly, 1982
County of Washington v. Gunther: Economic and Legal Considerations for Resolving Sex-Based Wage Discrimination Cases,"Keywords: Gender Differences, Labor Market & Outcomes","Lindsay, Cotton M. and Shanor, Charles A.", Supreme Court Economic Review, 1982
The Economic Impacts of Minimum Wage Laws: a New Look at an Old Question,"Keywords: Government Transfers, Labor Market & Outcomes, Statistical & Econometric Methods","Linneman, Peter.", Journal of Political Economy, 1982
Elderly Consumer Decisional Processes and Public Policy,"Keywords: Aging, Expenditures, Savings & Consumption, Government Transfers","McGhee, Jerrie L.", International Journal of Consumer Studies, 1982
Impact of Wife's Employment upon Husband's Housework,"Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Nickols, Sharon Y. and Metzen, Edward J.", Journal of Family Issues, 1982
Predictors of Retirement,"Keywords: Aging, Labor Market & Outcomes, Retirement","Palmore, Erdman B., George, Linda K., and Fillenbaum, Gerda G.", Journal of Gerontology, 1982
Children's Health Problems and Maternal Work Status,"Keywords: Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes, Statistical & Econometric Methods","Salkever, David S.", The Journal of Human Resources, 1982
Generalized Estimation of Error Components Models with a Serially Correlated Temporal Effect,Keywords: Statistical & Econometric Methods,"Silver, J. Lew.", International Economic Review, 1982
Borrower Risk under Alternative Mortgage Instruments,"Keywords: Expenditures, Savings & Consumption, Housing, Statistical & Econometric Methods","Webb, Bruce G.", The Journal of Finance, 1982
Moonlighting Husbands or Working Wives,"Keywords: Gender Differences, Labor Market & Outcomes","Alper, Neil O. and Morlock, Mark J.", Journal of Family Issues, 1982
Worker Response to a Menu of Implicit Contracts,Keywords: Labor Market & Outcomes,"Bellante, Don and Link, Albert N.", ILR Review, 1982
"Inflation, Taxes, and the Demand for Housing","Keywords: Housing, Taxes","Boehm, Thomas P. and McKenzie, Joseph A.", Real Estate Economics, 1982
Block Grants for the Needy: The Case of AFDC,"Keywords: Government Transfers, Statistical & Econometric Methods","Chernick, Howard.", Journal of Policy Analysis and Management, 1982
The Estimation and Interpolation of Inequality Measures,"Keywords: Income, Statistical & Econometric Methods","Cowell, Frank A. and Mehta, Fatemeh.", The Review of Economic Studies, 1982
A Closer Look at Schooling after the First Birth,"Keywords: Education Attainment & Achievement, Family Formation & Composition","Darabi, Katherine F.", Journal of School Health, 1982
A Family of Hypothesis Tests for a Collection of Short Event Series with an Application to Female Employment Participation,"Keywords: Gender Differences, Labor Market & Outcomes, Statistical & Econometric Methods","Davies, RB, Crouchley, R., and Pickles, AR.", Environment and Planning A: Economy and Space, 1982
The Failure of Human Capital Theory to Explain Occupational Sex Segregation,"Keywords: Gender Differences, Labor Market & Outcomes, Statistical & Econometric Methods","England, Paula.", The Journal of Human Resources, 1982
Union Wage Practices and Wage Dispersion within Establishments,Keywords: Labor Market & Outcomes,"Freeman, Richard B.", ILR Review, 1982
An Econometric Examination of the New Federalism,"Keywords: Government Transfers, Statistical & Econometric Methods","Gramlich, Edward M., Aaron, Henry J., and Lovell, Michael C.", Brookings Papers on Economic Activity, 1982
Estimation of a Labour Supply Model With Censoring Due to Unemployment and Underemployment,Keywords: Labor Market & Outcomes,"Ham, J.", The Review of Economic Studies, 1982
Minimum Hours Constraints and Retirement Behavior,"Keywords: Labor Market & Outcomes, Retirement","Gustman, Alan L. and Steinmeier, Thomas L.", Contemporary Economic Policy, 1983
The Current Population Shift among Elderly Migrants,"Keywords: Aging, Neighborhoods & Geographic Mobility","Kim, Joochul and Hartwigsen, Gail.", Research on Aging, 1983
"Housework Time of Wives: Pressure, Facilitators, Constraints","Keywords: Family Formation & Composition, Labor Market & Outcomes, Time Use & Home Production","Hafstrom, JL and Schram, VR.", Home Economics Research Journal, 1983
The Market Needs Help: The Disappointing Record of Home Energy Conservation,"Keywords: Expenditures, Savings & Consumption, Housing","Frieden, Barney and Baker, Kermit.", Journal of Policy Analysis and Management, 1983
"Race, Housing Attributes, and Satisfaction With Housing","Keywords: Housing, Racial-Ethnic Differences","Kinsey, J. and Lane, S.", Housing and Society, 1983
The Continuing Significance of Social Class to Marketing,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Income","Coleman, Richard P.", Journal of Consumer Research, 1983
Property Taxation and the Demand for Homeownership,"Keywords: Housing, Taxes","Ihlanfeldt, Keith R. and Boehm, Thomas P.", Public Finance Quarterly, 1983
The Affordability of Alternative Mortgage Instruments: A Household Analysis,"Keywords: Expenditures, Savings & Consumption, Housing","Boehm, Thomas P. and McKenzie, Joseph A.", Housing Finance Review, 1983
Estimation of Consumer Demand Systems With Binding Non-Negativity Constraints,Keywords: Statistical & Econometric Methods,"Wales, T. J. and Woodland, A. D.", Journal of Econometrics, 1983
Discrimination in ERA States?,"Keywords: Gender Differences, Income","Hunt, Janet.", Economic Inquiry, 1983
A Multiple-Attribute Housing Disequilibrium Model of Residential Mobility,Keywords: Housing,"Onaka, JL.", Environment and Planning A, 1983
The Role of the Family in the Economic Well-Being of the Elderly,"Keywords: Aging, Intergenerational Influences & Transfers","Moon, Marilyn.", The Gerontologist, 1983
"Time Allocation, Market Work, and Changes in Female Health","Keywords: Aging, Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes","Wolfe, Barbara and Haveman, Robert.", American Economic Review, 1983
"Unemployment, Public Policy and Families","Keywords: Government Transfers, Income, Labor Market & Outcomes","Moen, Phyllis.", Journal of Marriage and Family, 1983
Union Dues and Wage Premiums,Keywords: Labor Market & Outcomes,"Raisian, John.", Journal of Labor Research, 1983
Migration and Job Change: A Multinomial Logit Approach,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Linneman, Peter and Graves, Philip E.", Journal of Urban Economics, 1983
